"type","REST_ACRES","YEAR","STATE","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"both",15989.5050753793,2002,"Oregon","RaABAMlw_fsw","RaABAMlw_fsw_17090004",88410.219680592,0.180855846
"active",1161.86415980502,2002,"Oregon","RaABAMlw_fwc","RaABAMlw_fwc_17090004",10500.4448190796,0.110649042
"both",614.276914453967,2002,"Oregon","RaABAMlw_fwc","RaABAMlw_fwc_17090004",10500.4448190796,0.058500085
"passive",5500.81486361912,2002,"Oregon","RaABAMlw_fwc","RaABAMlw_fwc_17090004",10500.4448190796,0.523864937
"active",2996.5796236643,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17070105B",17453.7837343335,0.17168653337727
"both",759.191745037503,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17070105B",17453.7837343335,0.0434972586227301
"active",3778.37118773736,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17070105C",43399.9516230815,0.087059341
"both",5617.37816983897,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17070105C",43399.9516230815,0.129432821
"passive",22991.8968480664,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17070105C",43399.9516230815,0.529767799
"both",9274.47277862169,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17080001B",71654.7217851466,0.129432821
"passive",25757.2767798366,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17080001B",71654.7217851466,0.359463774865648
"active",16187.7769225443,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090001",360404.18195159,0.044915619
"both",46648.1299701916,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090001",360404.18195159,0.129432821
"passive",1481.11406069947,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090001",360404.18195159,0.00410959177188021
"active",21357.3394279029,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090002",256899.339420012,0.0831350500009857
"passive",33228.3450341394,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090002",256899.339420012,0.129343832137355
"active",3537.13825287019,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090003A",83930.3717139694,0.042143722
"both",12490.8845263366,2002,"Oregon","RaDFHEdy_fwi","RaDFHEdy_fwi_17090003A",83930.3717139694,0.148824368
