"type","REST_ACRES","YEAR","BpS_Code","BPS_LLID","AREA_STRATA","REST_PCT"
"active",12805.9094825134,2010,"Na0710270_fdd","Na0710270_fdd_1710030906",57361.9958186913,0.223247278964805
"both",20069.4404105059,2010,"Na0710270_fdd","Na0710270_fdd_1710030906",57361.9958186913,0.349873468035195
"active",2229.89976026682,2010,"Na0710270_fdd","Na0710270_fdd_1710031001",41790.5610594587,0.0533589333030052
"both",16526.3141562819,2010,"Na0710270_fdd","Na0710270_fdd_1710031001",41790.5610594587,0.395455666
"passive",8343.64578232259,2010,"Na0710270_fdd","Na0710270_fdd_1710031001",41790.5610594587,0.199653835
"active",7918.89894731633,2010,"Na0710270_fdd","Na0710270_fdd_1710031002",55780.0767167922,0.141966440589932
"both",22058.5473875701,2010,"Na0710270_fdd","Na0710270_fdd_1710031002",55780.0767167922,0.395455666
"passive",3675.94713376492,2010,"Na0710270_fdd","Na0710270_fdd_1710031002",55780.0767167922,0.0659007185025671
"active",699.639528610614,2010,"Na0710270_fdd","Na0710270_fdd_1710031003",91453.3667564202,0.0076502326095228
"both",36165.7520586024,2010,"Na0710270_fdd","Na0710270_fdd_1710031003",91453.3667564202,0.395455666
"passive",7220.56600195661,2010,"Na0710270_fdd","Na0710270_fdd_1710031003",91453.3667564202,0.0789535285364408
"active",5309.62738333985,2010,"Na0710270_fdd","Na0710270_fdd_1710031004",29885.5990915843,0.177665081
"both",11818.4294925715,2010,"Na0710270_fdd","Na0710270_fdd_1710031004",29885.5990915843,0.395455666
"passive",5966.77446990732,2010,"Na0710270_fdd","Na0710270_fdd_1710031004",29885.5990915843,0.199653835
"active",4800.93995650873,2010,"Na0710270_fdd","Na0710270_fdd_1710031101",19132.6313607912,0.250929413
"both",7566.10747711417,2010,"Na0710270_fdd","Na0710270_fdd_1710031101",19132.6313607912,0.395455666
"passive",3819.90322482323,2010,"Na0710270_fdd","Na0710270_fdd_1710031101",19132.6313607912,0.199653835
"passive",3191.99602039079,2010,"Na0710270_fdd","Na0710270_fdd_1710031102",3891.77115807772,0.820191088
