"YEAR","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030905","B",1060.37936
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030905","C",96.297035
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030905","D",6.449455
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030905","E",76.05909
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030906","A",164.794695
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030906","B",3458.019855
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030906","C",299.34367
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030906","D",55.59875
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710030906","E",237.07307
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031001","A",435.44941
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031001","B",5912.371075
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031001","C",793.50536
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031001","D",55.821145
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031001","E",330.03418
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031002","A",14.900465
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031002","B",209.273695
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031002","C",26.465005
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031002","D",2.66874
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031002","E",12.676515
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031003","A",52.48522
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031003","B",624.707555
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031003","C",90.29237
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031003","D",0.667185
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031003","E",63.827365
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031004","A",0.88958
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031004","B",34.916015
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031004","C",0.88958
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031004","E",6.004665
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031005","B",3.780715
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031005","E",2.446345
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031006","A",14.900465
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031006","B",72.50077
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031006","C",9.34059
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031006","E",40.698285
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031008","A",3.11353
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031008","B",22.68429
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031008","C",0.667185
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031008","E",11.342145
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031105","A",4.00311
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031105","B",0.88958
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031105","C",0.44479
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031108","B",2.446345
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031108","C",0.222395
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031108","E",0.44479
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031110","E",0.222395
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031111","A",11.342145
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031111","B",38.029545
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031111","C",2.446345
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031111","E",28.244165
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1710031203","E",0.44479
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020602","A",77.615855
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020602","B",948.959465
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020602","C",175.024865
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020602","D",5.559875
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020602","E",69.609635
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020603","A",220.61584
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020603","B",326.253465
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020603","C",147.003095
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020603","D",1.33437
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020603","E",10.897355
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020604","A",778.3825
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020604","B",4436.113065
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020604","C",1038.13986
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020604","D",24.241055
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020604","E",839.76352
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020606","A",596.685785
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020606","B",3463.357335
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020606","C",635.382515
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020606","D",3.11353
"2012","eastside","Na0210290","fwo","Na0210290_fwo","Na0210290_fwo_1801020606","E",801.733975
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17070105B","A",298.45409
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17070105B","B",454.352985
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17070105B","C",263.76047
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17070105B","D",24.685845
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17070105B","E",431.89109
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17100301","A",15.345255
"2012","eastside","Na0210350","fvg","Na0210350_fvg","Na0210350_fvg_17100301","B",127.432335
