"YEAR","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
"2010","RaMCONdy","fdd","RaMCONdy_fdd","D",17830.74152
"2010","RaMCONdy","fdd","RaMCONdy_fdd","E",309164.410805
"2010","RaMCONdy","fdg","RaMCONdy_fdg","A",98395.10943
"2010","RaMCONdy","fdg","RaMCONdy_fdg","B",531964.3921
"2010","RaMCONdy","fdg","RaMCONdy_fdg","C",297854.95787
"2010","RaMCONdy","fdg","RaMCONdy_fdg","D",9295.22142
"2010","RaMCONdy","fdg","RaMCONdy_fdg","E",111906.05047
"2010","RaMCONdy","fdx","RaMCONdy_fdx","A",696.98593
"2010","RaMCONdy","fdx","RaMCONdy_fdx","B",1858.999805
"2010","RaMCONdy","fdx","RaMCONdy_fdx","C",900.477355
"2010","RaMCONdy","fdx","RaMCONdy_fdx","D",91.18195
"2010","RaMCONdy","fdx","RaMCONdy_fdx","E",1049.037215
"2010","RaMCONdy","fmd","RaMCONdy_fmd","A",293689.05473
"2010","RaMCONdy","fmd","RaMCONdy_fmd","B",893122.085165
"2010","RaMCONdy","fmd","RaMCONdy_fmd","C",558374.020745
"2010","RaMCONdy","fmd","RaMCONdy_fmd","D",28136.303425
"2010","RaMCONdy","fmd","RaMCONdy_fmd","E",277173.55724
"2010","RaMCONdy","fmx","RaMCONdy_fmx","A",62929.33399
"2010","RaMCONdy","fmx","RaMCONdy_fmx","B",290108.717625
"2010","RaMCONdy","fmx","RaMCONdy_fmx","C",179104.47888
"2010","RaMCONdy","fmx","RaMCONdy_fmx","D",5749.133145
"2010","RaMCONdy","fmx","RaMCONdy_fmx","E",58278.16496
"2010","RaMCONms","fcm","RaMCONms_fcm","A",243929.285455
"2010","RaMCONms","fcm","RaMCONms_fcm","B",639628.03555
"2010","RaMCONms","fcm","RaMCONms_fcm","C",936997.060345
"2010","RaMCONms","fcm","RaMCONms_fcm","D",93158.374365
"2010","RaMCONms","fcm","RaMCONms_fcm","E",290255.053535
"2010","RaMCONms","fmm","RaMCONms_fmm","A",151126.74309
"2010","RaMCONms","fmm","RaMCONms_fmm","B",656547.179965
"2010","RaMCONms","fmm","RaMCONms_fmm","C",591265.351665
"2010","RaMCONms","fmm","RaMCONms_fmm","D",23469.34435
"2010","RaMCONms","fmm","RaMCONms_fmm","E",347161.486135
"2010","RaMCONsw","fdm","RaMCONsw_fdm","A",15281.872425
"2010","RaMCONsw","fdm","RaMCONsw_fdm","B",151783.475525
"2010","RaMCONsw","fdm","RaMCONsw_fdm","C",13218.936405
