"YEAR","STATE","ew","BpS","PVT","BpS_Code","BPS_LLID","sclass","AREA_TOTAL"
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010202","A",16.234835
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010202","B",43.811815
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010202","C",2.446345
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010202","D",0.222395
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010202","E",55.376355
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010606","A",4256.862695
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010606","B",6491.932445
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010606","C",3348.156725
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010606","D",52.04043
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010606","E",614.032595
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010606","A",437.006175
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010606","B",845.768185
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010606","C",129.211495
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010606","D",13.121305
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010606","E",427.220795
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010207","A",108.306365
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010207","B",324.474305
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010207","C",102.968885
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010207","D",0.44479
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010207","E",116.312585
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010606","A",129.43389
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010606","B",343.37788
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010606","C",97.40901
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010606","E",32.91446
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010207","A",2.891135
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010207","B",64.04976
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010207","C",2.22395
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010207","D",0.44479
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010207","E",66.496105
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010601","A",3095.7384
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010601","B",8094.28842
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010601","C",5990.209325
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010601","D",135.66095
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010601","E",2722.781985
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010601","A",1976.64676
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010601","B",6252.190635
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010601","C",3738.237555
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010601","D",44.03421
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010601","E",1195.373125
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010602","A",6862.66491
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010602","B",15548.301635
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010602","C",11282.09835
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010602","D",375.625155
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010602","E",2764.36985
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010201","A",140.331245
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010201","B",590.23633
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010201","C",171.466545
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010201","D",17.124415
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1707010201","E",290.225475
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010602","A",1082.841255
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010602","B",3931.276415
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010602","C",818.635995
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010602","D",42.69984
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010602","E",1815.63278
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010201","A",606.24877
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010201","B",1478.92675
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010201","C",752.362285
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010201","D",38.69673
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1707010201","E",827.976585
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010201","A",55.15396
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010201","B",92.07153
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010201","C",12.89891
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010201","D",1.33437
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1707010201","E",139.21927
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010601","A",232.847565
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010601","B",525.964175
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010601","C",96.96422
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010601","D",8.8958
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010601","E",407.87243
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010209","A",68.05287
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010209","B",379.85066
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010209","C",93.183505
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010209","D",85.84447
"2016","Oregon","eastside","RaPIPOm","fpd","RaPIPOm_fpd","RaPIPOm_fpd_1707010209","E",501.72312
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010602","A",1733.79142
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010602","B",4132.321495
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010602","C",2836.648225
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010602","D",36.47278
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010602","E",819.525575
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010410","A",61.82581
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010410","B",249.97198
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010410","C",60.713835
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010410","D",3.55832
"2016","Oregon","eastside","RaMCONdy","fdg","RaMCONdy_fdg","RaMCONdy_fdg_1706010410","E",177.248815
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010604","A",4433.22193
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010604","B",11553.197855
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010604","C",5341.9279
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010604","D",2.001555
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010604","E",3407.313795
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010410","A",107.861575
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010410","B",195.7076
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010410","C",48.9269
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010410","D",5.559875
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010410","E",207.71693
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010604","A",1058.6002
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010604","B",2096.072875
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010604","C",373.401205
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010604","D",2.22395
"2016","Oregon","eastside","RaPIPOm","fdp","RaPIPOm_fdp","RaPIPOm_fdp_1706010604","E",1546.09004
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010103","A",1321.693485
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010103","B",1577.67013
"2016","Oregon","eastside","RaMCONdy","fdd","RaMCONdy_fdd","RaMCONdy_fdd_1706010103","C",823.75108
