"YEAR","BpS_Code","BPS_LLID","sclass","PERC_CHNG","AREA_CHNG","PREV_AREA","PERC_CHNG_VAR","AREA_CHNG_VAR","PREV_AREA_VAR","nPlots_AREA","N"
2017,"Na0710270_fdd","Na0710270_fdd_1710030903","C",10.2359074797435,872.736922444488,8526.22910251588,128.797661180025,865437.325221142,89357112.3555354,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030904","A",-9.51444746555281,-116.974540416715,1229.44123492428,60.6432469909878,10317.0084806795,1034133.72962882,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030904","B",3.97975476094461,1311.79186753903,32961.6256863944,4.59051209067237,1148010.42170912,315328214.877186,5,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030904","C",-5.64667610589081,-1194.81732712231,21159.6575528006,12.9701743876667,1137693.41322844,186162475.396374,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030905","A",0,0,504.537832427451,0,0,275156.984530951,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030905","B",Inf,733.944997782458,0,NA,568945.617336262,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030905","C",-4.31271291253055,-764.382740988444,17723.9421332112,7.50170574986474,617114.103221445,129558139.68839,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710030906","A",8.57040765385101,381.218336563722,4448.07705724974,44.0028217100859,200536.269843934,11742878.6132128,4,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710030906","B",-6.80325422150575,-1814.23457211676,26667.1582899517,16.3813380342993,2012267.67313299,257167533.951672,3,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710030906","E",0,0,11082.0295866697,0,0,87450978.5603856,2,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710031001","A",-10.5263157894737,-1452.40937384818,13797.8890515577,76.7147392706888,1490162.8120437,134487193.786944,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031001","B",-2.72795337189302,-1057.0594828283,38749.1770834326,1.76945362993938,2424327.72124257,368945082.873614,5,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031001","C",24.6998501904655,1530.20187157114,6195.18685243615,841.416501571628,2719899.27682251,52495373.1321691,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031001","E",Inf,1132.61756402149,0,NA,1087940.0615763,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031002","A",0.385570383700777,45.6377012867003,11836.4125503264,0.0981632944819067,65353.567655624,85200434.6145113,3,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710031002","B",0,0,41225.8290755785,0,0,335310771.990432,5,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710031002","C",6.10220797188775,439.075783894511,7195.35921943809,12.3394352243292,481329.150437349,17335268.591339,3,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710031002","E",-10.2040816326531,-643.496929824907,6306.26991228409,107.785902979265,437357.607314036,42003824.60644,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031003","A",-5.14895479723109,-685.958692070231,13322.2900391185,14.8812949550277,353035.542277456,101525809.515718,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031003","B",0.156130583160612,82.0864579524578,52575.514861182,0.00606920516164917,2044491.45931002,485452601.535916,6,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031003","C",-0.155817964179883,-30.8722810619088,19813.0435244735,0.00606161713655402,2088540.29404104,152930254.052844,5,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031003","E",4.66390942720724,634.744515179682,13609.7093026047,12.4180264913958,1118550.92732351,105070006.205257,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031004","A",0.0937407933149423,9.71219561148431,10360.6927870283,0.00730408844241443,79.9969126902436,91036589.1028491,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031004","B",0.156680245017218,66.3111547690992,42322.6008880775,0.00517735058509437,3504.25257769317,384568249.161023,4,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031101","A",0.385442447356676,2.68996671455105,697.890627510944,0.123488880790467,6.1366619098288,413059.977200936,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031101","B",-0.0258599945340138,-2.68996671455105,10402.0389912029,0.00055586026690099,6.1366619098288,91764634.6054901,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031102","A",-9.9009900990099,-821.441082039317,8296.5549285971,71.4630790218094,501888.125514627,51197607.6837471,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031102","B",Inf,783.964273372003,0,NA,457137.264944631,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031102","C",Inf,339.038708568685,0,NA,85497.3497441291,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031104","A",-9.70873786407767,-733.636251510348,7556.45339055658,87.5637790926335,510140.875597774,54120845.4921678,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031104","B",Inf,824.04469223814,0,NA,643620.827904286,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031105","A",-5.63074955166138,-1545.52011798639,27447.8575863914,9.42306634561975,1258974.7623024,228296665.209473,5,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031105","B",1.15699943731271,422.749964300956,36538.4762228452,0.348234257298349,182168.545175671,346985835.201799,5,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031105","C",10.4495945694798,1251.14384447773,11973.1328919875,70.6815720808348,1060443.40261084,92853422.539109,3,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031106","A",-3.82479677511775,-94.8391457717757,2479.58653355788,16.2872586239208,100253.682978342,7223851.36460809,2,9917
2017,"Na0710270_fdd","Na0710270_fdd_1710031106","C",3.23736898978274,78.5702292509621,2426.9778792264,10.278438116594,6177.15319645731,5893916.34548335,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1710031107","B",0,0,2861.44452132051,0,0,8185018.46944576,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710031107","C",0,0,2861.44452132051,0,0,8185018.46944576,1,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710031107","E",0,0,5565.19965252316,0,0,15877293.1374508,2,4789
2017,"Na0710270_fdd","Na0710270_fdd_1710031201","B",0,0,17339.5950169168,0,0,195518600.645454,1,222
2017,"Na0710270_fdd","Na0710270_fdd_1801020602","A",Inf,5.52095216430042,0,NA,24.2912681446193,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1801020602","B",-10.3092783505155,-1158.38672126893,11236.3511963086,88.9209813184948,1145471.97227745,107777457.871585,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1801020602","C",12.1959497808395,1235.95157380673,10134.1149809298,118.399294577781,1150266.56985808,81845324.414489,2,5128
2017,"Na0710270_fdd","Na0710270_fdd_1801020604","A",-10.1010101010101,-1053.31750474843,10427.8432970094,90.5289200126214,1004398.23916746,98441071.4208028,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1801020604","C",Inf,1053.31750474843,0,NA,1004398.23916746,0,1,5128
2017,"Na0710270_fdd","Na0710270_fdd_1801020606","A",0,0,11352.4783703371,0,0,110878851.730458,1,5128
2017,"Na0710411_fmt","Na0710411_fmt_WCR","A",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","Na0710411_fmt_WCR","C",NA,0,0,NA,0,0,0,5421
2017,"Na0710411_fmt","Na0710411_fmt_WCR","D",NA,0,0,NA,0,0,0,5421
