"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","MAP_ZONE1","MAP_ZONE2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaMCONsw_fiw","RaMCONsw_fiw","OSW","OSW",NA,"E","Non-forest","Forest",219.850340269948,13596.5888521026,7,9917
2017,0,1,"RaMCONsw_fvw","RaMCONsw_fvw","OSW","OSW",NA,"A","Non-forest","Forest",472.940500351227,212002.786827452,1,5128
2017,0,1,"RaMCONsw_fvw","RaMCONsw_fvw","OSW","OSW",NA,"B","Non-forest","Forest",10.2105965616551,94.3820862710735,1,5128
2017,0,1,"RaMCONsw_fvw","RaMCONsw_fvw","OSW","OSW",NA,"E","Non-forest","Forest",68.8505698939325,1859.05496114931,3,9917
2017,0,1,"RaMEVG_ftd","RaMEVG_ftd","OSW","OSW",NA,"A","Non-forest","Forest",250.760716289789,73880.4048818242,1,4789
2017,0,1,"RaMEVG_ftd","RaMEVG_ftd","OSW","OSW",NA,"B","Non-forest","Forest",4.34340861423395,19.8509569064209,1,4789
2017,0,1,"RaMEVG_ftd","RaMEVG_ftd","OSW","OSW",NA,"C","Non-forest","Forest",9.57427775441839,91.6349291553203,1,4789
2017,0,1,"RaMEVG_ftd","RaMEVG_ftd","OSW","OSW",NA,"E","Non-forest","Forest",128.467567275889,10729.0072133639,2,9917
2017,0,1,"RaMEVG_fuc","RaMEVG_fuc","OSW","OSW",NA,"A","Non-forest","Forest",103.430913563821,9611.46731287725,1,4789
2017,0,1,"RaPICOpu_fld","RaPICOpu_fld","OEC","OEC",NA,"A","Non-forest","Forest",22.1412977831581,410.34674521825,2,9917
2017,0,1,"RaPICOpu_fld","RaPICOpu_fld","OEC","OEC",NA,"C","Non-forest","Forest",37.7952677039705,1078.24338722104,3,4789
2017,0,1,"RaPICOpu_fld","RaPICOpu_fld","OEC","OEC",NA,"D","Non-forest","Forest",20.3071827006357,481.305183602798,1,5128
2017,0,1,"RaPICOpu_flp","RaPICOpu_flp","OSW","OSW",NA,"C","Non-forest","Forest",5.90888293652686,34.9027603828724,1,4789
2017,0,1,"RaPIPOm_fdp","RaPIPOm_fdp","OBM","OBM",NA,"A","Non-forest","Forest",307.194718499216,20714.720125061,6,4789
2017,0,1,"RaPIPOm_fdp","RaPIPOm_fdp","OBM","OBM",NA,"B","Non-forest","Forest",99.8590902762088,2872.61401000624,7,4789
2017,0,1,"RaPIPOm_fdp","RaPIPOm_fdp","OBM","OBM",NA,"C","Non-forest","Forest",1115.27007668287,664744.601461825,8,9917
2017,0,1,"RaPIPOm_fdp","RaPIPOm_fdp","OBM","OBM",NA,"D","Non-forest","Forest",217.627049808566,13093.4319449478,9,4789
2017,0,1,"RaPIPOm_fdp","RaPIPOm_fdp","OBM","OBM",NA,"E","Non-forest","Forest",51.3716019452397,548.758886148381,7,4789
