"YEAR","AREA_DOMAIN1","AREA_DOMAIN2","BpS_Code1","BpS_Code2","ew1","ew2","sclass1","sclass2","STATUS1","STATUS2","AREA_CHNG","AREA_CHNG_VAR","nPlots_AREA","N"
2017,0,1,"RaPIPOm_fpl","RaPIPOm_fpl","eastside","eastside",NA,"A","Non-forest","Forest",210.5353029265,16529.9191177272,11,9917
2017,0,1,"RaPIPOm_fpl","RaPIPOm_fpl","eastside","eastside",NA,"B","Non-forest","Forest",579.716498414642,105960.574755577,13,9917
2017,0,1,"RaPIPOm_fpl","RaPIPOm_fpl","eastside","eastside",NA,"E","Non-forest","Forest",484.462491644859,47999.0275808776,14,9917
2017,0,1,"RaPIPOxe_fpd","RaPIPOxe_fpd","eastside","eastside",NA,"A","Non-forest","Forest",431.702890599016,68816.4307143602,3,9917
2017,0,1,"RaPIPOxe_fpd","RaPIPOxe_fpd","eastside","eastside",NA,"B","Non-forest","Forest",2041.41818781697,1264404.5193569,16,9917
2017,0,1,"RaPIPOxe_fpd","RaPIPOxe_fpd","eastside","eastside",NA,"C","Non-forest","Forest",42.7791628006331,1839.42410486014,1,4789
2017,0,1,"RaPIPOxe_fpd","RaPIPOxe_fpd","eastside","eastside",NA,"E","Non-forest","Forest",123.89976516121,7629.1476591715,3,4789
2017,0,1,"RaPIPOxe_fxp","RaPIPOxe_fxp","eastside","eastside",NA,"A","Non-forest","Forest",7435.89954986563,6041586.88796589,16,9917
2017,0,1,"RaPIPOxe_fxp","RaPIPOxe_fxp","eastside","eastside",NA,"B","Non-forest","Forest",14971.4206706147,10499523.0796679,48,9917
2017,0,1,"RaPIPOxe_fxp","RaPIPOxe_fxp","eastside","eastside",NA,"C","Non-forest","Forest",828.499482859738,689765.130431938,1,5128
2017,0,1,"RaPIPOxe_fxp","RaPIPOxe_fxp","eastside","eastside",NA,"E","Non-forest","Forest",593.556215808189,82060.2614005222,7,9917
2017,0,1,"RaREFI_fcw","RaREFI_fcw","eastside","eastside",NA,"A","Non-forest","Forest",205.454559943922,48555.4380621581,2,9917
2017,0,1,"RaREFI_fcw","RaREFI_fcw","eastside","eastside",NA,"C","Non-forest","Forest",15.8053590239726,224.438678485016,1,4789
