"strataID","BpS","SCLASS","YEAR","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2011_Na0710412_fmc","Na0710412","A",2011,"westside","WNC","fmc","Na0710412_fmc","A",9559.204285,684510.237685,100972.362536764,86450.4778442765,115494.247229251,-76891.2735592765
"2011_Na0710412_fmc","Na0710412","A",2011,"westside","WWC","fmc","Na0710412_fmc","A",34242.380545,684510.237685,100972.362536764,86450.4778442765,115494.247229251,-52208.0972992765
"2011_Na0710412_fmc","Na0710412","B",2011,"eastside","OEC","fmc","Na0710412_fmc","B",1165.127405,684510.237685,155323.84990551,138039.825394855,172607.861410471,-136874.697989855
"2011_Na0710412_fmc","Na0710412","B",2011,"eastside","OSW","fmc","Na0710412_fmc","B",3808.069585,684510.237685,155323.84990551,138039.825394855,172607.861410471,-134231.755809855
"2011_Na0710412_fmc","Na0710412","B",2011,"westside","OWC","fmc","Na0710412_fmc","B",100456.488685,684510.237685,155323.84990551,138039.825394855,172607.861410471,-37583.3367098548
"2011_Na0710412_fmc","Na0710412","B",2011,"westside","WCR","fmc","Na0710412_fmc","B",19905.019685,684510.237685,155323.84990551,138039.825394855,172607.861410471,-118134.805709855
"2011_Na0710412_fmc","Na0710412","B",2011,"westside","WNC","fmc","Na0710412_fmc","B",62486.100755,684510.237685,155323.84990551,138039.825394855,172607.861410471,-75553.7246398548
"2011_Na0710412_fmc","Na0710412","B",2011,"westside","WWC","fmc","Na0710412_fmc","B",143782.148215,684510.237685,155323.84990551,138039.825394855,172607.861410471,0
"2011_Na0710412_fmc","Na0710412","C",2011,"eastside","OEC","fmc","Na0710412_fmc","C",473.25656,684510.237685,109131.015417363,93558.5998574057,124703.424816727,-93085.3432974057
"2011_Na0710412_fmc","Na0710412","C",2011,"eastside","OSW","fmc","Na0710412_fmc","C",467.696685,684510.237685,109131.015417363,93558.5998574057,124703.424816727,-93090.9031724057
"2011_Na0710412_fmc","Na0710412","C",2011,"westside","OWC","fmc","Na0710412_fmc","C",15326.57382,684510.237685,109131.015417363,93558.5998574057,124703.424816727,-78232.0260374057
"2011_Na0710412_fmc","Na0710412","C",2011,"westside","WCR","fmc","Na0710412_fmc","C",1196.262705,684510.237685,109131.015417363,93558.5998574057,124703.424816727,-92362.3371524057
"2011_Na0710412_fmc","Na0710412","C",2011,"westside","WNC","fmc","Na0710412_fmc","C",8178.79852,684510.237685,109131.015417363,93558.5998574057,124703.424816727,-85379.8013374057
"2011_Na0710412_fmc","Na0710412","C",2011,"westside","WWC","fmc","Na0710412_fmc","C",30189.454065,684510.237685,109131.015417363,93558.5998574057,124703.424816727,-63369.1457924057
"2011_Na0710412_fmc","Na0710412","D",2011,"eastside","OEC","fmc","Na0710412_fmc","D",519.51472,684510.237685,33721.3516124186,24026.8507903415,43415.8531190059,-23507.3360703415
"2011_Na0710412_fmc","Na0710412","D",2011,"eastside","OSW","fmc","Na0710412_fmc","D",633.82575,684510.237685,33721.3516124186,24026.8507903415,43415.8531190059,-23393.0250403415
"2011_Na0710412_fmc","Na0710412","D",2011,"westside","OWC","fmc","Na0710412_fmc","D",5860.55304,684510.237685,33721.3516124186,24026.8507903415,43415.8531190059,-18166.2977503415
"2011_Na0710412_fmc","Na0710412","D",2011,"westside","WCR","fmc","Na0710412_fmc","D",692.98282,684510.237685,33721.3516124186,24026.8507903415,43415.8531190059,-23333.8679703415
"2011_Na0710412_fmc","Na0710412","D",2011,"westside","WNC","fmc","Na0710412_fmc","D",1190.035645,684510.237685,33721.3516124186,24026.8507903415,43415.8531190059,-22836.8151453415
"2011_Na0710412_fmc","Na0710412","D",2011,"westside","WWC","fmc","Na0710412_fmc","D",3457.35267,684510.237685,33721.3516124186,24026.8507903415,43415.8531190059,-20569.4981203415
"2011_Na0710412_fmc","Na0710412","E",2011,"eastside","OEC","fmc","Na0710412_fmc","E",2641.60781,684510.237685,285361.654790394,266828.928906887,303894.407369799,-264187.321096887
"2011_Na0710412_fmc","Na0710412","E",2011,"eastside","OSW","fmc","Na0710412_fmc","E",5242.73973,684510.237685,285361.654790394,266828.928906887,303894.407369799,-261586.189176887
"2011_Na0710412_fmc","Na0710412","E",2011,"westside","OWC","fmc","Na0710412_fmc","E",106978.22206,684510.237685,285361.654790394,266828.928906887,303894.407369799,-159850.706846887
"2011_Na0710412_fmc","Na0710412","E",2011,"westside","WCR","fmc","Na0710412_fmc","E",26445.43424,684510.237685,285361.654790394,266828.928906887,303894.407369799,-240383.494666887
"2011_Na0710412_fmc","Na0710412","E",2011,"westside","WNC","fmc","Na0710412_fmc","E",41216.02056,684510.237685,285361.654790394,266828.928906887,303894.407369799,-225612.908346887
"2011_Na0710412_fmc","Na0710412","E",2011,"westside","WWC","fmc","Na0710412_fmc","E",38364.694265,684510.237685,285361.654790394,266828.928906887,303894.407369799,-228464.234641887
"2011_Na0710412_fmh","Na0710412","A",2011,"eastside","OEC","fmh","Na0710412_fmh","A",20935.598115,1309929.456685,193228.18668908,165438.033265508,221018.340112652,-144502.435150508
"2011_Na0710412_fmh","Na0710412","A",2011,"eastside","OSW","fmh","Na0710412_fmh","A",5269.204735,1309929.456685,193228.18668908,165438.033265508,221018.340112652,-160168.828530508
"2011_Na0710412_fmh","Na0710412","A",2011,"eastside","WCB","fmh","Na0710412_fmh","A",6.67185,1309929.456685,193228.18668908,165438.033265508,221018.340112652,-165431.361415508
"2011_Na0710412_fmh","Na0710412","A",2011,"eastside","WEC","fmh","Na0710412_fmh","A",70773.428035,1309929.456685,193228.18668908,165438.033265508,221018.340112652,-94664.6052305078
"2011_Na0710412_fmh","Na0710412","A",2011,"eastside","WNE","fmh","Na0710412_fmh","A",121.205275,1309929.456685,193228.18668908,165438.033265508,221018.340112652,-165316.827990508
"2011_Na0710412_fmh","Na0710412","A",2011,"westside","OWC","fmh","Na0710412_fmh","A",19.57076,1309929.456685,193228.18668908,165438.033265508,221018.340112652,-165418.462505508
"2011_Na0710412_fmh","Na0710412","B",2011,"eastside","OEC","fmh","Na0710412_fmh","B",170760.440875,1309929.456685,297239.215888218,264163.227261454,330315.179626323,-93402.7863864538
"2011_Na0710412_fmh","Na0710412","B",2011,"eastside","OSW","fmh","Na0710412_fmh","B",82444.272845,1309929.456685,297239.215888218,264163.227261454,330315.179626323,-181718.954416454
"2011_Na0710412_fmh","Na0710412","B",2011,"eastside","WCB","fmh","Na0710412_fmh","B",19.348365,1309929.456685,297239.215888218,264163.227261454,330315.179626323,-264143.878896454
"2011_Na0710412_fmh","Na0710412","B",2011,"eastside","WEC","fmh","Na0710412_fmh","B",313131.71521,1309929.456685,297239.215888218,264163.227261454,330315.179626323,0
