"type","REST_ACRES","YEAR","STATE","ew","BpS_Code","AREA_STRATA","REST_PCT"
"passive",219677.529937179,2017,"Oregon","westside","RaSSHE_fss",707868.384535,0.310336687916194
"active",56.6238874789471,2017,"Oregon","westside","RaTAOAco_fto",93.85069,0.603340129720379
"active",66031.897922095,2017,"Washington","eastside","Na0710412_fmh",757466.25025,0.0871747063321981
"passive",2046.77578529,2017,"Washington","eastside","Na0710412_fmh",757466.25025,0.00270213462925175
"active",41105.8693423192,2017,"Washington","eastside","Na1010471_frn",685999.617,0.0599211257902483
"both",50801.9338412447,2017,"Washington","eastside","Na1010471_frn",685999.617,0.0740553384904364
"passive",210396.972814667,2017,"Washington","eastside","Na1010471_frn",685999.617,0.306701297786099
"active",25734.1017904567,2017,"Washington","eastside","RaABAMlw_fsi",335445.49514,0.0767161943245546
"both",18500.2728335571,2017,"Washington","eastside","RaABAMlw_fsi",335445.49514,0.0551513527580268
"passive",30203.5201384499,2017,"Washington","eastside","RaABAMlw_fsi",335445.49514,0.0900400231216232
"active",0.70347445446402,2017,"Washington","eastside","RaABAMlw_fsw",4.89269,0.143780712545455
"both",0.88487158916574,2017,"Washington","eastside","RaABAMlw_fsw",4.89269,0.180855846
"active",1470.08252966492,2017,"Washington","eastside","RaABLA_faf",15372.83198,0.0956286084162954
"both",224.408440618778,2017,"Washington","eastside","RaABLA_faf",15372.83198,0.014597729352063
"passive",2177.31231627399,2017,"Washington","eastside","RaABLA_faf",15372.83198,0.141633780887391
"active",158.361831031283,2017,"Washington","eastside","RaDFHEdy_fwi",7979.310205,0.0198465565271607
"both",942.269864467238,2017,"Washington","eastside","RaDFHEdy_fwi",7979.310205,0.118089138065693
"passive",282.783884841088,2017,"Washington","eastside","RaDFHEdy_fwi",7979.310205,0.0354396404671534
"passive",794.649117069361,2017,"Washington","eastside","RaDFHEwt_fwn",1325.696595,0.599420048347761
"both",1.77635683940025e-15,2017,"Washington","eastside","RaDFHEwt_fww",65.606525,2.70759172109825e-17
"passive",44.4824290340027,2017,"Washington","eastside","RaDFHEwt_fww",65.606525,0.678018368355932
"active",55.1504101399058,2017,"Washington","eastside","RaDFWV_fwx",509.28455,0.108289972943231
"both",65.4871142880777,2017,"Washington","eastside","RaDFWV_fwx",509.28455,0.128586493126638
"passive",2.98741589134694,2017,"Washington","eastside","RaDFWV_fwx",509.28455,0.00586590716593885
"active",302059.387755464,2017,"Washington","eastside","RaMCONdy_fdd",2725006.82458,0.110847204135725
"both",1038951.80869916,2017,"Washington","eastside","RaMCONdy_fdd",2725006.82458,0.381265763934109
"passive",98778.7962299528,2017,"Washington","eastside","RaMCONdy_fdd",2725006.82458,0.0362490087507129
"active",1072.28991838028,2017,"Washington","eastside","RaMCONdy_fdg",6331.58565,0.169355668177731
"both",1826.67719465227,2017,"Washington","eastside","RaMCONdy_fdg",6331.58565,0.288502327162276
"active",60004.3081044813,2017,"Washington","eastside","RaMCONdy_fmd",1454706.15534,0.0412484046239956
"both",537167.521440183,2017,"Washington","eastside","RaMCONdy_fmd",1454706.15534,0.369261874274969
"active",4667.91867245184,2017,"Washington","eastside","RaMCONms_fcm",392953.061425,0.0118790744510913
"both",40551.7978287624,2017,"Washington","eastside","RaMCONms_fcm",392953.061425,0.103197561769098
"passive",21050.9543789825,2017,"Washington","eastside","RaMCONms_fcm",392953.061425,0.0535711677691061
"active",51364.6559593308,2017,"Washington","eastside","RaMCONms_fmm",927511.468805,0.0553789981977351
"passive",57786.8687692105,2017,"Washington","eastside","RaMCONms_fmm",927511.468805,0.0623031312417762
"active",3956.15026537795,2017,"Washington","eastside","RaOAPI_fop",7013.44872,0.564080586216641
"both",56.3835130979496,2017,"Washington","eastside","RaOAPI_fop",7013.44872,0.00803934203399289
"active",6373.07072379104,2017,"Washington","eastside","RaPIPOm_fdp",13985.754365,0.455683015550448
"both",2036.80639058082,2017,"Washington","eastside","RaPIPOm_fdp",13985.754365,0.14563436032296
"passive",538.450049303568,2017,"Washington","eastside","RaPIPOm_fdp",13985.754365,0.0384998931949688
"active",239075.175705729,2017,"Washington","eastside","RaPIPOm_fpd",526023.109675,0.454495575020344
"both",2574.77194434132,2017,"Washington","eastside","RaPIPOm_fpd",526023.109675,0.00489478864518353
"passive",50444.7802471347,2017,"Washington","eastside","RaPIPOm_fpd",526023.109675,0.0958984107719177
"active",439.400823648869,2017,"Washington","eastside","RaPIPOxe_fxp",2759.699555,0.159220529224917
"both",873.492994384497,2017,"Washington","eastside","RaPIPOxe_fxp",2759.699555,0.316517424080425
"passive",150.541049083802,2017,"Washington","eastside","RaPIPOxe_fxp",2759.699555,0.0545497964845676
"active",51974.1992911452,2017,"Washington","eastside","RaSAWD_fal",540980.73019,0.0960740307198948
"passive",150295.604146399,2017,"Washington","eastside","RaSAWD_fal",540980.73019,0.277820624208949
"active",82173.4200552432,2017,"Washington","eastside","RaSPFI_fcd",885764.813775,0.0927711496068941
"passive",74045.9471374063,2017,"Washington","eastside","RaSPFI_fcd",885764.813775,0.0835954939571751
"active",0.744709255614585,2017,"Washington","eastside","RaSPFI_fmz",2.446345,0.304417102090909
"both",0.536692271170165,2017,"Washington","eastside","RaSPFI_fmz",2.446345,0.219385357
"active",64.3398116479545,2017,"Washington","eastside","RaSSHE_fss",3121.98101,0.02060864926528
"both",227.434138923578,2017,"Washington","eastside","RaSSHE_fss",3121.98101,0.0728493024765636
"passive",1631.46382155204,2017,"Washington","eastside","RaSSHE_fss",3121.98101,0.52257326880795
"passive",224944.923350212,2017,"Washington","westside","Na0710411_fmt",503602.80254,0.446671309642573
"active",103363.039650563,2017,"Washington","westside","Na0710412_fmc",536796.14587,0.192555480224322
"active",7263.20833406087,2017,"Washington","westside","Na0710412_fmi",37383.70992,0.194288056204264
"both",543.600668706547,2017,"Washington","westside","Na0710412_fmi",37383.70992,0.0145411108172473
"active",80931.5392806606,2017,"Washington","westside","RaABAMlw_fsi",1031971.95707,0.0784241652364696
"both",55811.1273112114,2017,"Washington","westside","RaABAMlw_fsi",1031971.95707,0.0540820193115244
"passive",182511.048931242,2017,"Washington","westside","RaABAMlw_fsi",1031971.95707,0.176856597391883
"active",11165.915764207,2017,"Washington","westside","RaABAMlw_fwc",289997.520125,0.0385034870622136
"both",13004.0246271017,2017,"Washington","westside","RaABAMlw_fwc",289997.520125,0.0448418476871681
"passive",74667.7382254393,2017,"Washington","westside","RaABAMlw_fwc",289997.520125,0.257477161160739
"active",70386.8355272192,2017,"Washington","westside","RaABAMup_fst",1463695.138845,0.0480884534348877
"both",1019.23536259784,2017,"Washington","westside","RaABAMup_fst",1463695.138845,0.00069634402379864
"passive",223016.117430403,2017,"Washington","westside","RaABAMup_fst",1463695.138845,0.152365141833008
"active",9801.3702591429,2017,"Washington","westside","RaABLA_faf",156228.92918,0.0627372299777476
"both",1820.62849986838,2017,"Washington","westside","RaABLA_faf",156228.92918,0.0116535939241492
"passive",17774.2875318934,2017,"Washington","westside","RaABLA_faf",156228.92918,0.113770782563674
"both",158388.659320791,2017,"Washington","westside","RaDFHEdy_fdg",1479289.25385,0.107070783424248
"passive",428739.171256467,2017,"Washington","westside","RaDFHEdy_fdg",1479289.25385,0.289827814364655
"both",310427.167504461,2017,"Washington","westside","RaDFHEdy_fwi",2955374.907725,0.105038168488553
"passive",830551.132840301,2017,"Washington","westside","RaDFHEdy_fwi",2955374.907725,0.281030718190555
"passive",585490.288214822,2017,"Washington","westside","RaDFHEwt_fwm",1475019.937035,0.396937203026381
"passive",558154.466369603,2017,"Washington","westside","RaDFHEwt_fwn",1133764.594915,0.492301901887709
"passive",130184.354167719,2017,"Washington","westside","RaDFHEwt_fww",418469.10696,0.311096690299202
"active",139063.151438017,2017,"Washington","westside","RaSAWD_fal",504288.22393,0.275761250886002
"passive",70249.9528988562,2017,"Washington","westside","RaSAWD_fal",504288.22393,0.139305162336306
"both",51371.507192036,2017,"Washington","westside","RaSSHE_fss",1107128.12337,0.0464006885089918
"passive",577754.333578523,2017,"Washington","westside","RaSSHE_fss",1107128.12337,0.521849568611707
