BpS_Code,MAP_ZONE,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaDFHEdy_fwi,OEC,D,2.24097001299918,1345.712145,60050.430715
RaDFHEdy_fwi,OEC,E,32.9012617724069,19757.349405,60050.430715
RaDFHEdy_fwi,OSW,A,12.1582180798357,54029.97567,444390.57858
RaDFHEdy_fwi,OSW,B,41.2269217757546,183208.55621,444390.57858
RaDFHEdy_fwi,OSW,C,11.4412742642893,50843.9449,444390.57858
RaDFHEdy_fwi,OSW,D,5.07510744648695,22553.299345,444390.57858
RaDFHEdy_fwi,OSW,E,30.0984784336334,133754.802455,444390.57858
RaDFHEdy_fwi,ZoneNull,A,32.9835766423358,160.791585,487.48984
RaDFHEdy_fwi,ZoneNull,B,23.220802919708,113.199055,487.48984
RaDFHEdy_fwi,ZoneNull,C,22.4908759124088,109.640735,487.48984
RaDFHEdy_fwi,ZoneNull,D,11.5419708029197,56.265935,487.48984
RaDFHEdy_fwi,ZoneNull,E,9.76277372262774,47.59253,487.48984
RaDFHEdy_fwx,OSW,A,3.38440397939598,3768.483275,111348.506205
RaDFHEdy_fwx,OSW,B,40.6995300382081,45318.31873,111348.506205
RaDFHEdy_fwx,OSW,C,16.8351378827552,18745.67455,111348.506205
RaDFHEdy_fwx,OSW,D,5.02757255646832,5598.12694,111348.506205
RaDFHEdy_fwx,OSW,E,34.0533555431724,37917.90271,111348.506205
RaDFHEwt_fdm,OEC,A,3.58851674641148,3.335925,92.96111
RaDFHEwt_fdm,OEC,B,37.5598086124402,34.916015,92.96111
RaDFHEwt_fdm,OEC,C,14.1148325358852,13.121305,92.96111
RaDFHEwt_fdm,OEC,D,11.0047846889952,10.23017,92.96111
RaDFHEwt_fdm,OEC,E,33.7320574162679,31.357695,92.96111
RaDFHEwt_fdm,OSW,A,6.14426066703711,1155.786815,18810.836285
RaDFHEwt_fdm,OSW,B,44.9877634985754,8462.57454,18810.836285
RaDFHEwt_fdm,OSW,C,9.23826300793304,1737.79453,18810.836285
RaDFHEwt_fdm,OSW,D,4.59193927857844,863.78218,18810.836285
RaDFHEwt_fdm,OSW,E,35.0377735478761,6590.89822,18810.836285
RaDFHEwt_fhc,OSW,A,13.5976636316784,4400.75226,32364.032375
RaDFHEwt_fhc,OSW,B,48.7806218862738,15787.37626,32364.032375
RaDFHEwt_fhc,OSW,C,12.871327950524,4165.680745,32364.032375
RaDFHEwt_fhc,OSW,D,3.51623432399931,1137.995215,32364.032375
RaDFHEwt_fhc,OSW,E,21.2341522075245,6872.227895,32364.032375
RaDFHEwt_fwc,ZoneNull,C,100,0.222395,0.222395
RaDFHEwt_fwm,OEC,A,19.815233785822,467.47429,2359.16616
RaDFHEwt_fwm,OEC,B,35.6994720965309,842.209865,2359.16616
RaDFHEwt_fwm,OEC,C,23.3691553544495,551.317205,2359.16616
RaDFHEwt_fwm,OEC,D,6.86274509803922,161.90356,2359.16616
RaDFHEwt_fwm,OEC,E,14.2533936651584,336.26124,2359.16616
RaDFHEwt_fwm,OSW,A,14.4282564342644,44414.283055,307828.48404
RaDFHEwt_fwm,OSW,B,41.6371901351875,128171.13119,307828.48404
RaDFHEwt_fwm,OSW,C,12.3469821233506,38007.527895,307828.48404
RaDFHEwt_fwm,OSW,D,4.63330616868668,14262.63614,307828.48404
RaDFHEwt_fwm,OSW,E,26.9542651385108,82972.90576,307828.48404
RaDFHEwt_fwn,OSW,A,27.3131096196868,50910.21861,186394.809375
RaDFHEwt_fwn,OSW,B,37.7937658463833,70445.617805,186394.809375
RaDFHEwt_fwn,OSW,C,12.0269649515287,22417.638395,186394.809375
RaDFHEwt_fwn,OSW,D,5.7778970917226,10769.70027,186394.809375
RaDFHEwt_fwn,OSW,E,17.0882624906786,31851.634295,186394.809375
RaDFHEwt_fwn,ZoneNull,A,22.8774210665959,767.040355,3352.82702
RaDFHEwt_fwn,ZoneNull,B,29.3048553993102,982.54111,3352.82702
RaDFHEwt_fwn,ZoneNull,C,29.3380206951446,983.653085,3352.82702
RaDFHEwt_fwn,ZoneNull,D,8.64287609445476,289.780685,3352.82702
RaDFHEwt_fwn,ZoneNull,E,9.83682674449456,329.811785,3352.82702
RaDFHEwt_fww,OEC,A,7.47559893522626,149.89423,2005.11332
RaDFHEwt_fww,OEC,B,45.4192546583851,910.707525,2005.11332
RaDFHEwt_fww,OEC,C,15.9383318544809,319.581615,2005.11332
RaDFHEwt_fww,OEC,D,4.03726708074534,80.95178,2005.11332
RaDFHEwt_fww,OEC,E,27.1295474711624,543.97817,2005.11332
RaDFHEwt_fww,OSW,A,24.6375625656343,8035.13135,32613.33717
RaDFHEwt_fww,OSW,B,38.3494947015261,12507.05001,32613.33717
RaDFHEwt_fww,OSW,C,17.8661538671358,5826.749,32613.33717
RaDFHEwt_fww,OSW,D,5.92106160413513,1931.055785,32613.33717
RaDFHEwt_fww,OSW,E,13.2257272615687,4313.351025,32613.33717
RaDFHEwt_fww,ZoneNull,A,74.9826989619377,481.929965,642.72155
RaDFHEwt_fww,ZoneNull,B,2.31833910034602,14.900465,642.72155
RaDFHEwt_fww,ZoneNull,C,17.6124567474048,113.199055,642.72155
