"YEAR","STATE","BpS","PVT","BpS_Code","sclass","AREA_TOTAL"
2002,"Oregon","RaMCONdy","fmx","RaMCONdy_fmx","E",56262.37668
2002,"Oregon","RaMCONms","fcm","RaMCONms_fcm","A",218514.429645
2002,"Oregon","RaMCONms","fcm","RaMCONms_fcm","B",452371.89034
2002,"Oregon","RaMCONms","fcm","RaMCONms_fcm","C",842433.59437
2002,"Oregon","RaMCONms","fcm","RaMCONms_fcm","D",73818.460375
2002,"Oregon","RaMCONms","fcm","RaMCONms_fcm","E",223876.373095
2002,"Oregon","RaMCONms","fmm","RaMCONms_fmm","A",97347.62898
2002,"Oregon","RaMCONms","fmm","RaMCONms_fmm","B",245800.516985
2002,"Oregon","RaMCONms","fmm","RaMCONms_fmm","C",335940.768805
2002,"Oregon","RaMCONms","fmm","RaMCONms_fmm","D",15244.510065
2002,"Oregon","RaMCONms","fmm","RaMCONms_fmm","E",147725.211565
2002,"Oregon","RaMCONsw","fdm","RaMCONsw_fdm","A",13922.37179
2002,"Oregon","RaMCONsw","fdm","RaMCONsw_fdm","B",152917.46763
2002,"Oregon","RaMCONsw","fdm","RaMCONsw_fdm","C",12975.41388
2002,"Oregon","RaMCONsw","fdm","RaMCONsw_fdm","D",1078.61575
2002,"Oregon","RaMCONsw","fdm","RaMCONsw_fdm","E",71729.05935
2002,"Oregon","RaMCONsw","fiw","RaMCONsw_fiw","A",30428.751085
2002,"Oregon","RaMCONsw","fiw","RaMCONsw_fiw","B",602232.983485
2002,"Oregon","RaMCONsw","fiw","RaMCONsw_fiw","C",139272.422405
2002,"Oregon","RaMCONsw","fiw","RaMCONsw_fiw","D",18254.1816
2002,"Oregon","RaMCONsw","fiw","RaMCONsw_fiw","E",421330.663425
2002,"Oregon","RaMCONsw","fvw","RaMCONsw_fvw","A",9569.21206
2002,"Oregon","RaMCONsw","fvw","RaMCONsw_fvw","B",65576.72407
2002,"Oregon","RaMCONsw","fvw","RaMCONsw_fvw","C",7506.27604
2002,"Oregon","RaMCONsw","fvw","RaMCONsw_fvw","D",564.43851
2002,"Oregon","RaMCONsw","fvw","RaMCONsw_fvw","E",31232.26422
2002,"Oregon","RaMEVG","ftd","RaMEVG_ftd","A",41819.60059
2002,"Oregon","RaMEVG","ftd","RaMEVG_ftd","B",149635.80701
2002,"Oregon","RaMEVG","ftd","RaMEVG_ftd","C",20534.842325
2002,"Oregon","RaMEVG","ftd","RaMEVG_ftd","D",9710.21049
2002,"Oregon","RaMEVG","ftd","RaMEVG_ftd","E",208768.41356
2002,"Oregon","RaMEVG","fuc","RaMEVG_fuc","A",33124.178485
2002,"Oregon","RaMEVG","fuc","RaMEVG_fuc","B",16472.575255
2002,"Oregon","RaMEVG","fuc","RaMEVG_fuc","C",18439.436635
2002,"Oregon","RaMEVG","fuc","RaMEVG_fuc","D",8275.31795
2002,"Oregon","RaMEVG","fuc","RaMEVG_fuc","E",32596.657545
2002,"Oregon","RaOAPI","fop","RaOAPI_fop","A",13899.020315
2002,"Oregon","RaOAPI","fop","RaOAPI_fop","B",11192.473165
2002,"Oregon","RaOAPI","fop","RaOAPI_fop","C",5599.238915
2002,"Oregon","RaOAPI","fop","RaOAPI_fop","D",13972.410665
2002,"Oregon","RaOAPI","fop","RaOAPI_fop","E",32400.505155
2002,"Oregon","RaPICOpu","fld","RaPICOpu_fld","A",107255.993415
2002,"Oregon","RaPICOpu","fld","RaPICOpu_fld","B",91845.354285
2002,"Oregon","RaPICOpu","fld","RaPICOpu_fld","C",126750.694325
2002,"Oregon","RaPICOpu","fld","RaPICOpu_fld","D",10101.1809
2002,"Oregon","RaPICOpu","fld","RaPICOpu_fld","E",21380.16572
2002,"Oregon","RaPICOpu","flp","RaPICOpu_flp","A",521.071485
2002,"Oregon","RaPICOpu","flp","RaPICOpu_flp","B",18664.945165
2002,"Oregon","RaPICOpu","flp","RaPICOpu_flp","C",1834.75875
2002,"Oregon","RaPICOpu","flp","RaPICOpu_flp","D",34.69362
2002,"Oregon","RaPICOpu","flp","RaPICOpu_flp","E",3859.44283
2002,"Oregon","RaPICOpu","flw","RaPICOpu_flw","A",15402.18812
2002,"Oregon","RaPICOpu","flw","RaPICOpu_flw","B",27283.4186
2002,"Oregon","RaPICOpu","flw","RaPICOpu_flw","C",20730.549925
2002,"Oregon","RaPICOpu","flw","RaPICOpu_flw","D",3564.99185
2002,"Oregon","RaPICOpu","flw","RaPICOpu_flw","E",8373.61654
2002,"Oregon","RaPIJEsp","fjp","RaPIJEsp_fjp","A",18652.26865
2002,"Oregon","RaPIJEsp","fjp","RaPIJEsp_fjp","B",23775.35987
2002,"Oregon","RaPIJEsp","fjp","RaPIJEsp_fjp","C",16521.946945
2002,"Oregon","RaPIJEsp","fjp","RaPIJEsp_fjp","D",2644.054155
2002,"Oregon","RaPIJEsp","fjp","RaPIJEsp_fjp","E",20203.473775
2002,"Oregon","RaPIPOm","fdp","RaPIPOm_fdp","A",164302.090075
2002,"Oregon","RaPIPOm","fdp","RaPIPOm_fdp","B",540882.653995
2002,"Oregon","RaPIPOm","fdp","RaPIPOm_fdp","C",109043.38203
2002,"Oregon","RaPIPOm","fdp","RaPIPOm_fdp","D",6900.02727
2002,"Oregon","RaPIPOm","fdp","RaPIPOm_fdp","E",213609.95271
2002,"Oregon","RaPIPOm","fpd","RaPIPOm_fpd","A",10215.93672
2002,"Oregon","RaPIPOm","fpd","RaPIPOm_fpd","B",37774.013145
