BpS_Code,BPS_LLID,SCLASS,AREA_PCT,AREA,AREA_TOTAL
RaPIPOm_fpd,RaPIPOm_fpd_1701021603,D,4.78723404255319,14.010885,292.67182
RaPIPOm_fpd,RaPIPOm_fpd_1701021603,E,16.8693009118541,49.37169,292.67182
RaMCONdy_fdd,RaMCONdy_fdd_1702000303,A,5.38474381612033,2366.949985,43956.594145
RaMCONdy_fdd,RaMCONdy_fdd_1702000303,B,73.0216391518383,32097.82556,43956.594145
RaMCONdy_fdd,RaMCONdy_fdd_1702000303,C,15.21823820775,6689.419205,43956.594145
RaMCONdy_fdd,RaMCONdy_fdd_1702000303,D,0.394129045641054,173.245705,43956.594145
RaMCONdy_fdd,RaMCONdy_fdd_1702000303,E,5.98124977865025,2629.15369,43956.594145
RaMCONdy_fdd,RaMCONdy_fdd_1702000621,A,9.50429144089124,2578.44763,27129.298865
RaMCONdy_fdd,RaMCONdy_fdd_1702000621,B,60.9392804151262,16532.39951,27129.298865
RaMCONdy_fdd,RaMCONdy_fdd_1702000621,C,25.6453556526515,6957.40518,27129.298865
RaMCONdy_fdd,RaMCONdy_fdd_1702000621,D,0.424635411970128,115.20061,27129.298865
RaMCONdy_fdd,RaMCONdy_fdd_1702000621,E,3.48643707936092,945.845935,27129.298865
RaMCONdy_fdd,RaMCONdy_fdd_1702000401,A,5.6248028386027,4798.172125,85303.827755
RaMCONdy_fdd,RaMCONdy_fdd_1702000401,B,67.6829983653528,57736.188345,85303.827755
RaMCONdy_fdd,RaMCONdy_fdd_1702000401,C,20.3241137839606,17337.247015,85303.827755
RaMCONdy_fdd,RaMCONdy_fdd_1702000401,D,0.277655389251999,236.850675,85303.827755
RaMCONdy_fdd,RaMCONdy_fdd_1702000401,E,6.09042962283188,5195.369595,85303.827755
RaPIPOm_fpd,RaPIPOm_fpd_1702000401,A,8.62103315781984,673.634455,7813.848325
RaPIPOm_fpd,RaPIPOm_fpd_1702000401,B,42.0350078269532,3284.551755,7813.848325
RaPIPOm_fpd,RaPIPOm_fpd_1702000401,C,13.186281485698,1030.356035,7813.848325
RaPIPOm_fpd,RaPIPOm_fpd_1702000401,D,6.94748825957023,542.866195,7813.848325
RaPIPOm_fpd,RaPIPOm_fpd_1702000401,E,29.2101892699587,2282.439885,7813.848325
RaPIPOm_fpd,RaPIPOm_fpd_1702000303,A,19.853045075597,312.464975,1573.889415
RaPIPOm_fpd,RaPIPOm_fpd_1702000303,B,33.2061608026,522.62825,1573.889415
RaPIPOm_fpd,RaPIPOm_fpd_1702000303,C,9.43902783665395,148.55986,1573.889415
RaPIPOm_fpd,RaPIPOm_fpd_1702000303,D,14.1585417549809,222.83979,1573.889415
RaPIPOm_fpd,RaPIPOm_fpd_1702000303,E,23.3432245301682,367.39654,1573.889415
RaMCONdy_fdd,RaMCONdy_fdd_1702000802,A,11.7057536755354,3070.38537,26229.71109
RaMCONdy_fdd,RaMCONdy_fdd_1702000802,B,52.5648199962694,13787.60042,26229.71109
RaMCONdy_fdd,RaMCONdy_fdd_1702000802,C,13.9322717946109,3654.39464,26229.71109
RaMCONdy_fdd,RaMCONdy_fdd_1702000802,D,0.10937579488223,28.688955,26229.71109
RaMCONdy_fdd,RaMCONdy_fdd_1702000802,E,21.6877787387021,5688.641705,26229.71109
RaPIPOm_fpd,RaPIPOm_fpd_1702000621,A,24.2308937823834,665.628235,2747.02304
RaPIPOm_fpd,RaPIPOm_fpd_1702000621,B,35.880829015544,985.65464,2747.02304
RaPIPOm_fpd,RaPIPOm_fpd_1702000621,C,8.90544041450777,244.6345,2747.02304
RaPIPOm_fpd,RaPIPOm_fpd_1702000621,D,14.4591968911917,397.19747,2747.02304
RaPIPOm_fpd,RaPIPOm_fpd_1702000621,E,16.5236398963731,453.908195,2747.02304
RaPIPOm_fpd,RaPIPOm_fpd_1702000804,A,15.3644859813084,365.61738,2379.6265
RaPIPOm_fpd,RaPIPOm_fpd_1702000804,B,41.2803738317757,982.318715,2379.6265
RaPIPOm_fpd,RaPIPOm_fpd_1702000804,C,9.47663551401869,225.50853,2379.6265
RaPIPOm_fpd,RaPIPOm_fpd_1702000804,D,9.98130841121495,237.51786,2379.6265
RaPIPOm_fpd,RaPIPOm_fpd_1702000804,E,23.8971962616822,568.664015,2379.6265
RaPIPOm_fpd,RaPIPOm_fpd_1702000801,A,6.66666666666667,0.44479,6.67185
