OBJECTID,LF_BpS_Code,BpS,PVT,Sclass,BPS_SCLASS_old,BPS_SCLASS,Avg_,Minus_2_SD,Plus_2_SD,FRG,LL
91,RaDFHEdy_fdg,RaDFHEdy,fdg,A,RaDFHEdy_A,RaDFHEdy_fdg_A,5.6405387,4.2143722,7.0667057,3,2
92,RaDFHEdy_fdg,RaDFHEdy,fdg,B,RaDFHEdy_B,RaDFHEdy_fdg_B,16.9903202,14.8824368,19.0982018,3,2
93,RaDFHEdy_fdg,RaDFHEdy,fdg,E,RaDFHEdy_E,RaDFHEdy_fdg_E,56.1800995,52.9767799,59.3834190,3,2
94,RaDFHEdy_fdg,RaDFHEdy,fdg,C,RaDFHEdy_C,RaDFHEdy_fdg_C,5.8673854,4.4915619,7.2432084,3,2
95,RaDFHEdy_fdg,RaDFHEdy,fdg,D,RaDFHEdy_D,RaDFHEdy_fdg_D,15.3216562,12.9432821,17.7000313,3,2
96,RaDFHEdy_fwi,RaDFHEdy,fwi,A,RaDFHEdy_A,RaDFHEdy_fwi_A,5.6405387,4.2143722,7.0667057,3,2
97,RaDFHEdy_fwi,RaDFHEdy,fwi,B,RaDFHEdy_B,RaDFHEdy_fwi_B,16.9903202,14.8824368,19.0982018,3,2
98,RaDFHEdy_fwi,RaDFHEdy,fwi,E,RaDFHEdy_E,RaDFHEdy_fwi_E,56.1800995,52.9767799,59.3834190,3,2
99,RaDFHEdy_fwi,RaDFHEdy,fwi,C,RaDFHEdy_C,RaDFHEdy_fwi_C,5.8673854,4.4915619,7.2432084,3,2
100,RaDFHEdy_fwi,RaDFHEdy,fwi,D,RaDFHEdy_D,RaDFHEdy_fwi_D,15.3216562,12.9432821,17.7000313,3,2
101,RaDFHEdy_fwx,RaDFHEdy,fwx,A,RaDFHEdy_A,RaDFHEdy_fwx_A,5.6405387,4.2143722,7.0667057,3,2
102,RaDFHEdy_fwx,RaDFHEdy,fwx,B,RaDFHEdy_B,RaDFHEdy_fwx_B,16.9903202,14.8824368,19.0982018,3,2
103,RaDFHEdy_fwx,RaDFHEdy,fwx,E,RaDFHEdy_E,RaDFHEdy_fwx_E,56.1800995,52.9767799,59.3834190,3,2
104,RaDFHEdy_fwx,RaDFHEdy,fwx,C,RaDFHEdy_C,RaDFHEdy_fwx_C,5.8673854,4.4915619,7.2432084,3,2
105,RaDFHEdy_fwx,RaDFHEdy,fwx,D,RaDFHEdy_D,RaDFHEdy_fwx_D,15.3216562,12.9432821,17.7000313,3,2
106,RaDFHEwt_fdm,RaDFHEwt,fdm,A,RaDFHEwt_A,RaDFHEwt_fdm_A,4.6322355,3.2594359,6.0050354,5,3
107,RaDFHEwt_fdm,RaDFHEwt,fdm,B,RaDFHEwt_B,RaDFHEwt_fdm_B,17.0029144,14.7087698,19.2970581,5,3
108,RaDFHEwt_fdm,RaDFHEwt,fdm,E,RaDFHEwt_E,RaDFHEwt_fdm_E,74.2826538,71.4579315,77.1073837,5,3
109,RaDFHEwt_fdm,RaDFHEwt,fdm,C,RaDFHEwt_C,RaDFHEwt_fdm_C,0.6051697,0.0769815,1.1333578,5,3
110,RaDFHEwt_fdm,RaDFHEwt,fdm,D,RaDFHEwt_D,RaDFHEwt_fdm_D,3.4770260,2.2812304,4.6728215,5,3
111,RaDFHEwt_fhc,RaDFHEwt,fhc,A,RaDFHEwt_A,RaDFHEwt_fhc_A,4.6322355,3.2594359,6.0050354,5,3
112,RaDFHEwt_fhc,RaDFHEwt,fhc,B,RaDFHEwt_B,RaDFHEwt_fhc_B,17.0029144,14.7087698,19.2970581,5,3
113,RaDFHEwt_fhc,RaDFHEwt,fhc,E,RaDFHEwt_E,RaDFHEwt_fhc_E,74.2826538,71.4579315,77.1073837,5,3
114,RaDFHEwt_fhc,RaDFHEwt,fhc,C,RaDFHEwt_C,RaDFHEwt_fhc_C,0.6051697,0.0769815,1.1333578,5,3
115,RaDFHEwt_fhc,RaDFHEwt,fhc,D,RaDFHEwt_D,RaDFHEwt_fhc_D,3.4770260,2.2812304,4.6728215,5,3
116,RaDFHEwt_fwc,RaDFHEwt,fwc,A,RaDFHEwt_A,RaDFHEwt_fwc_A,4.6322355,3.2594359,6.0050354,5,3
117,RaDFHEwt_fwc,RaDFHEwt,fwc,B,RaDFHEwt_B,RaDFHEwt_fwc_B,17.0029144,14.7087698,19.2970581,5,3
118,RaDFHEwt_fwc,RaDFHEwt,fwc,E,RaDFHEwt_E,RaDFHEwt_fwc_E,74.2826538,71.4579315,77.1073837,5,3
119,RaDFHEwt_fwc,RaDFHEwt,fwc,C,RaDFHEwt_C,RaDFHEwt_fwc_C,0.6051697,0.0769815,1.1333578,5,3
120,RaDFHEwt_fwc,RaDFHEwt,fwc,D,RaDFHEwt_D,RaDFHEwt_fwc_D,3.4770260,2.2812304,4.6728215,5,3
121,RaDFHEwt_fwm,RaDFHEwt,fwm,A,RaDFHEwt_A,RaDFHEwt_fwm_A,4.6322355,3.2594359,6.0050354,5,3
122,RaDFHEwt_fwm,RaDFHEwt,fwm,B,RaDFHEwt_B,RaDFHEwt_fwm_B,17.0029144,14.7087698,19.2970581,5,3
123,RaDFHEwt_fwm,RaDFHEwt,fwm,E,RaDFHEwt_E,RaDFHEwt_fwm_E,74.2826538,71.4579315,77.1073837,5,3
124,RaDFHEwt_fwm,RaDFHEwt,fwm,C,RaDFHEwt_C,RaDFHEwt_fwm_C,0.6051697,0.0769815,1.1333578,5,3
125,RaDFHEwt_fwm,RaDFHEwt,fwm,D,RaDFHEwt_D,RaDFHEwt_fwm_D,3.4770260,2.2812304,4.6728215,5,3
126,RaDFHEwt_fwn,RaDFHEwt,fwn,A,RaDFHEwt_A,RaDFHEwt_fwn_A,4.6322355,3.2594359,6.0050354,5,3
127,RaDFHEwt_fwn,RaDFHEwt,fwn,B,RaDFHEwt_B,RaDFHEwt_fwn_B,17.0029144,14.7087698,19.2970581,5,3
128,RaDFHEwt_fwn,RaDFHEwt,fwn,E,RaDFHEwt_E,RaDFHEwt_fwn_E,74.2826538,71.4579315,77.1073837,5,3
129,RaDFHEwt_fwn,RaDFHEwt,fwn,C,RaDFHEwt_C,RaDFHEwt_fwn_C,0.6051697,0.0769815,1.1333578,5,3
130,RaDFHEwt_fwn,RaDFHEwt,fwn,D,RaDFHEwt_D,RaDFHEwt_fwn_D,3.4770260,2.2812304,4.6728215,5,3
131,RaDFHEwt_fww,RaDFHEwt,fww,A,RaDFHEwt_A,RaDFHEwt_fww_A,4.6322355,3.2594359,6.0050354,5,3
132,RaDFHEwt_fww,RaDFHEwt,fww,B,RaDFHEwt_B,RaDFHEwt_fww_B,17.0029144,14.7087698,19.2970581,5,3
133,RaDFHEwt_fww,RaDFHEwt,fww,E,RaDFHEwt_E,RaDFHEwt_fww_E,74.2826538,71.4579315,77.1073837,5,3
134,RaDFHEwt_fww,RaDFHEwt,fww,C,RaDFHEwt_C,RaDFHEwt_fww_C,0.6051697,0.0769815,1.1333578,5,3
135,RaDFHEwt_fww,RaDFHEwt,fww,D,RaDFHEwt_D,RaDFHEwt_fww_D,3.4770260,2.2812304,4.6728215,5,3
136,RaDFWV_fwx,RaDFWV,fwx,A,RaDFWV_A,RaDFWV_fwx_A,12.4008379,10.4537697,14.3479071,1,1
137,RaDFWV_fwx,RaDFWV,fwx,B,RaDFWV_B,RaDFWV_fwx_B,16.2570267,13.9753208,18.5387306,1,1
138,RaDFWV_fwx,RaDFWV,fwx,E,RaDFWV_E,RaDFWV_fwx_E,31.1443310,28.2268314,34.0618324,1,1
139,RaDFWV_fwx,RaDFWV,fwx,C,RaDFWV_C,RaDFWV_fwx_C,8.4127541,6.6284738,10.1970348,1,1
140,RaDFWV_fwx,RaDFWV,fwx,D,RaDFWV_D,RaDFWV_fwx_D,31.7850494,28.9418678,34.6282310,1,1
141,RaMCONdy_fdd,RaMCONdy,fdd,A,RaMCONdy_A,RaMCONdy_fdd_A,13.9659882,11.6666126,16.2653637,1,1
142,RaMCONdy_fdd,RaMCONdy,fdd,B,RaMCONdy_B,RaMCONdy_fdd_B,0.6562475,0.1813563,1.1311387,1,1
143,RaMCONdy_fdd,RaMCONdy,fdd,E,RaMCONdy_E,RaMCONdy_fdd_E,12.3129539,10.2582130,14.3676949,1,1
144,RaMCONdy_fdd,RaMCONdy,fdd,C,RaMCONdy_C,RaMCONdy_fdd_C,31.6135921,28.7567215,34.4704628,1,1
145,RaMCONdy_fdd,RaMCONdy,fdd,D,RaMCONdy_D,RaMCONdy_fdd_D,41.4512177,38.2443924,44.6580429,1,1
146,RaMCONdy_fdg,RaMCONdy,fdg,A,RaMCONdy_A,RaMCONdy_fdg_A,13.9659882,11.6666126,16.2653637,1,1
147,RaMCONdy_fdg,RaMCONdy,fdg,B,RaMCONdy_B,RaMCONdy_fdg_B,0.6562475,0.1813563,1.1311387,1,1
148,RaMCONdy_fdg,RaMCONdy,fdg,E,RaMCONdy_E,RaMCONdy_fdg_E,12.3129539,10.2582130,14.3676949,1,1
149,RaMCONdy_fdg,RaMCONdy,fdg,C,RaMCONdy_C,RaMCONdy_fdg_C,31.6135921,28.7567215,34.4704628,1,1
150,RaMCONdy_fdg,RaMCONdy,fdg,D,RaMCONdy_D,RaMCONdy_fdg_D,41.4512177,38.2443924,44.6580429,1,1
151,RaMCONdy_fdx,RaMCONdy,fdx,A,RaMCONdy_A,RaMCONdy_fdx_A,13.9659882,11.6666126,16.2653637,1,1
152,RaMCONdy_fdx,RaMCONdy,fdx,B,RaMCONdy_B,RaMCONdy_fdx_B,0.6562475,0.1813563,1.1311387,1,1
153,RaMCONdy_fdx,RaMCONdy,fdx,E,RaMCONdy_E,RaMCONdy_fdx_E,12.3129539,10.2582130,14.3676949,1,1
154,RaMCONdy_fdx,RaMCONdy,fdx,C,RaMCONdy_C,RaMCONdy_fdx_C,31.6135921,28.7567215,34.4704628,1,1
155,RaMCONdy_fdx,RaMCONdy,fdx,D,RaMCONdy_D,RaMCONdy_fdx_D,41.4512177,38.2443924,44.6580429,1,1
156,RaMCONdy_fmd,RaMCONdy,fmd,A,RaMCONdy_A,RaMCONdy_fmd_A,13.9659882,11.6666126,16.2653637,1,1
157,RaMCONdy_fmd,RaMCONdy,fmd,B,RaMCONdy_B,RaMCONdy_fmd_B,0.6562475,0.1813563,1.1311387,1,1
158,RaMCONdy_fmd,RaMCONdy,fmd,E,RaMCONdy_E,RaMCONdy_fmd_E,12.3129539,10.2582130,14.3676949,1,1
159,RaMCONdy_fmd,RaMCONdy,fmd,C,RaMCONdy_C,RaMCONdy_fmd_C,31.6135921,28.7567215,34.4704628,1,1
160,RaMCONdy_fmd,RaMCONdy,fmd,D,RaMCONdy_D,RaMCONdy_fmd_D,41.4512177,38.2443924,44.6580429,1,1
161,RaMCONdy_fmx,RaMCONdy,fmx,A,RaMCONdy_A,RaMCONdy_fmx_A,13.9659882,11.6666126,16.2653637,1,1
162,RaMCONdy_fmx,RaMCONdy,fmx,B,RaMCONdy_B,RaMCONdy_fmx_B,0.6562475,0.1813563,1.1311387,1,1
163,RaMCONdy_fmx,RaMCONdy,fmx,E,RaMCONdy_E,RaMCONdy_fmx_E,12.3129539,10.2582130,14.3676949,1,1
164,RaMCONdy_fmx,RaMCONdy,fmx,C,RaMCONdy_C,RaMCONdy_fmx_C,31.6135921,28.7567215,34.4704628,1,1
165,RaMCONdy_fmx,RaMCONdy,fmx,D,RaMCONdy_D,RaMCONdy_fmx_D,41.4512177,38.2443924,44.6580429,1,1
166,RaMCONms_fcm,RaMCONms,fcm,A,RaMCONms_A,RaMCONms_fcm_A,14.5160475,12.4187250,16.6133709,3,2
167,RaMCONms_fcm,RaMCONms,fcm,B,RaMCONms_B,RaMCONms_fcm_B,44.4048119,41.5293503,47.2802696,3,2
