"PLT_CN","sclass"
15347472010497,NA
15347486010497,NA
15347494010497,NA
15347502010497,NA
15347516010497,NA
15347530010497,NA
15347544010497,NA
15347558010497,NA
15347573010497,NA
15347587010497,NA
15347601010497,NA
15347615010497,NA
15347629010497,NA
15347643010497,NA
15347657010497,NA
15347671010497,NA
15347685010497,NA
15347699010497,NA
15347713010497,NA
15347727010497,NA
15347741010497,NA
15347756010497,NA
15347770010497,NA
15347784010497,NA
15347798010497,NA
15347812010497,NA
15347019010497,NA
15347826010497,NA
15347840010497,NA
15347854010497,NA
15347868010497,NA
15347883010497,NA
15347897010497,NA
15347911010497,NA
15347925010497,NA
15347939010497,NA
15347953010497,NA
15347967010497,NA
15347981010497,NA
15347995010497,NA
15348009010497,NA
15348023010497,NA
15348038010497,NA
15348052010497,NA
15348066010497,NA
15348080010497,NA
15348094010497,NA
15348108010497,NA
15348122010497,NA
15348136010497,NA
15348150010497,NA
15348164010497,NA
15348178010497,NA
15348192010497,NA
15348206010497,NA
15348220010497,NA
15348235010497,NA
15348249010497,NA
15348264010497,NA
15348278010497,NA
15348292010497,NA
15348306010497,NA
15348320010497,NA
15348334010497,NA
15348348010497,NA
15348362010497,NA
15348376010497,NA
15348390010497,NA
15348404010497,NA
15348418010497,NA
15348432010497,NA
15348446010497,NA
15348460010497,NA
15348474010497,NA
15348489010497,NA
15348504010497,NA
15348517010497,NA
15348531010497,NA
15348546010497,NA
15348560010497,NA
15348574010497,NA
15348589010497,NA
15348603010497,NA
15348618010497,NA
15348633010497,NA
15348647010497,NA
15348662010497,NA
15348676010497,NA
15348690010497,NA
15348705010497,NA
15348719010497,NA
15348734010497,NA
15348749010497,NA
15348764010497,NA
15348779010497,NA
15348794010497,NA
15348808010497,NA
15348822010497,NA
15348837010497,NA
15348852010497,NA
15348867010497,NA
15348882010497,NA
15348897010497,NA
15348912010497,NA
15348941010497,NA
15348956010497,NA
15348971010497,NA
15348984010497,NA
15348997010497,NA
24437767010900,"A"
24437990010900,NA
24438253010900,"D"
24438439010900,"D"
24438561010900,"E"
24438902010900,"B"
24439146010900,"D"
24439457010900,"B"
24439641010900,"E"
24439882010900,"E"
24440178010900,"A"
24440335010900,"A"
24440579010900,NA
24440595010900,NA
24440779010900,NA
24440809010900,"C"
24441014010900,NA
24441030010900,"E"
24441256010900,"A"
24441400010900,"A"
24441616010900,NA
24441840010900,NA
24441862010900,NA
24441878010900,NA
24441894010900,"C"
24442126010900,"B"
24442307010900,"A"
24442539010900,NA
24442645010900,"A"
24442808010900,NA
24442830010900,NA
24442989010900,"C"
24443097010900,"E"
24443335010900,NA
24443351010900,"B"
24443459010900,"E"
24443851010900,"B"
24444039010900,NA
24444099010900,NA
24444602010900,"B"
24444745010900,"A"
24444801010900,"B"
24444984010900,"C"
24445157010900,"B"
24445339010900,"B"
24445560010900,"B"
24445871010900,"E"
24446260010900,"B"
24446472010900,NA
24446500010900,NA
24446538010900,"B"
24446763010900,"B"
24446956010900,"E"
24447244010900,"C"
24447535010900,"D"
24447817010900,"C"
24447925010900,"A"
24448096010900,NA
24448110010900,"E"
24448407010900,"B"
24448798010900,"B"
15349012010497,NA
15349027010497,NA
15349042010497,NA
15349057010497,NA
15349071010497,NA
15349085010497,NA
15349100010497,NA
15349115010497,NA
15349129010497,NA
15349144010497,NA
15349158010497,NA
15349172010497,NA
15349186010497,NA
15349200010497,NA
15349215010497,NA
15349230010497,NA
15349244010497,NA
15349258010497,NA
15349272010497,NA
15349287010497,NA
15349301010497,NA
15349315010497,NA
15349329010497,NA
15349343010497,NA
15349357010497,NA
15349371010497,NA
15349385010497,NA
15349399010497,NA
15349414010497,NA
15349429010497,NA
15349444010497,NA
15349459010497,NA
15349474010497,NA
15349489010497,NA
15349506010497,NA
15349522010497,NA
15349539010497,NA
15349556010497,NA
15349573010497,NA
15349590010497,NA
15349607010497,NA
15349624010497,NA
15349641010497,NA
15349658010497,NA
15349675010497,NA
15349692010497,NA
15349709010497,NA
15349726010497,NA
15349743010497,NA
15349758010497,NA
15349773010497,NA
15349788010497,NA
15349803010497,NA
15349818010497,NA
15349833010497,NA
