"strataID","YEAR","BpS_Code","SCLASS","BPS_LLID","sclass","PERC_AREA","AREA_TOTAL","PERC_AREA_VAR","AREA_TOTAL_VAR","nPlots_AREA","N","AREA_STRATA","avg","low","high","departure"
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000110",2002,"RaMCONdy_fdd","B",NA,NA,0,78.4966277304981,NA,NA,NA,NA,43283.0994735215,284.044258217498,78.4966277304981,489.591888704498,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000110",2002,"RaMCONdy_fdd","C",NA,NA,0,12446.8003721685,NA,NA,NA,NA,43283.0994735215,13683.3425157963,12446.8003721685,14919.8847027072,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000110",2002,"RaMCONdy_fdd","D",NA,NA,0,16553.3584055359,NA,NA,NA,NA,43283.0994735215,17941.371790077,16553.3584055359,19329.3851313349,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000110",2002,"RaMCONdy_fdd","E",NA,NA,0,4440.07253699571,NA,NA,NA,NA,43283.0994735215,5329.42808466585,4440.07253699571,6218.78367561908,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000111",2002,"RaMCONdy_fdd","A",NA,NA,0,4711.73787047736,NA,NA,NA,NA,40386.5117667262,5640.37546773259,4711.73787047736,6569.01302460131,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000111",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1702000111","B",0.819569544130371,4472.42674688688,0.00584241939648927,2618101238.99586,1,592,40386.5117667262,265.035473806347,73.2434834391993,456.827464173494,4015.59928271338
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000111",2002,"RaMCONdy_fdd","C",NA,NA,0,11613.8367123222,NA,NA,NA,NA,40386.5117667262,12767.6270933513,11613.8367123222,13921.417514767,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000111",2002,"RaMCONdy_fdd","D",NA,NA,0,15445.5760367389,NA,NA,NA,NA,40386.5117667262,16740.7009138618,15445.5760367389,18035.8257505981,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000111",2002,"RaMCONdy_fdd","E",NA,NA,0,4142.93440030084,NA,NA,NA,NA,40386.5117667262,4972.77257565507,4142.93440030084,5802.61079139582,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000112",2002,"RaMCONdy_fdd","A",NA,NA,0,13423.5778014903,NA,NA,NA,NA,115059.771518344,16069.2341131988,13423.5778014903,18714.8903098476,0
"2002_RaMCONdy_fdd_RaMCONdy_fdd_1702000112",2002,"RaMCONdy_fdd","B","RaMCONdy_fdd_1702000112","B",1.20720251062812,12741.7887091031,0.00445164036605401,5969762523.1112,2,915,115059.771518344,755.076874094842,208.668144414122,1301.48560377556,11440.3031053276
