"PLT_CN","CONDID","sclass"
8682648010901,1,"A"
8682933010901,1,"B"
8683011010901,1,"B"
8683357010901,1,"B"
8683403010901,1,"B"
8683502010901,1,"B"
8683654010901,1,"E"
8683804010901,1,"E"
8684031010901,1,"E"
8684202010901,2,"B"
8684267010901,1,"E"
8684267010901,2,"E"
8684504010901,1,"B"
8684615010901,2,"B"
8684788010901,1,"B"
8684967010901,1,"E"
8685097010901,1,"B"
8685250010901,1,"E"
8685454010901,1,"E"
8685579010901,1,"A"
8685718010901,1,"B"
8685847010901,1,"B"
8686018010901,2,"E"
8686088010901,1,"B"
8686196010901,1,"B"
8686269010901,1,"B"
8686357010901,1,"A"
8686459010901,1,"E"
8686558010901,1,"B"
8686630010901,1,"B"
8686734010901,1,"B"
8686881010901,1,"E"
8686881010901,2,"E"
8687073010901,1,"E"
8687172010901,1,"B"
8687372010901,1,"E"
8687505010901,1,"E"
8687838010901,1,"E"
8687981010901,1,"A"
8688145010901,1,"B"
8688219010901,1,"E"
8688219010901,2,"E"
8688352010901,1,"B"
8688511010901,1,"E"
8688638010901,1,"A"
8688794010901,1,"B"
8688951010901,1,"B"
8689087010901,1,"B"
8689236010901,1,"B"
8689382010901,1,"E"
8689542010901,1,"E"
8689782010901,1,"C"
8689972010901,1,"E"
8690079010901,1,"B"
8690236010901,1,"A"
8690326010901,1,"B"
8690424010901,1,"B"
8690528010901,1,"E"
8690723010901,1,"B"
8690827010901,1,"B"
8690827010901,2,"B"
8690984010901,1,"B"
8691129010901,1,"B"
8691276010901,2,"B"
8691352010901,1,"B"
8691481010901,1,"B"
8691630010901,1,"B"
8691763010901,1,"A"
8691919010901,1,"B"
8692046010901,1,"B"
8692046010901,2,"B"
8692195010901,1,"B"
8692334010901,1,"A"
8692430010901,1,"B"
8692625010901,1,"B"
8692697010901,1,"B"
8692842010901,1,"B"
8693062010901,1,"B"
8693132010901,1,"B"
8693301010901,1,"B"
8693468010901,1,"B"
8693563010901,1,"B"
8693702010901,1,"E"
8693856010901,1,"B"
8694036010901,1,"E"
8694284010901,1,"E"
8694527010901,1,"B"
8694735010901,1,"B"
8694822010901,1,"B"
8694957010901,1,"E"
8695295010901,1,"B"
8695547010901,1,"B"
8695685010901,1,"B"
8695819010901,1,"B"
8695977010901,1,"B"
8696107010901,1,"B"
8696205010901,1,"B"
8696399010901,1,"E"
8696524010901,1,"E"
8696655010901,1,"E"
8696862010901,1,"E"
8697015010901,1,"B"
8697153010901,1,"B"
8697276010901,1,"B"
8697510010901,2,"E"
8697696010901,1,"E"
8697845010901,1,"A"
8697845010901,2,"B"
8698026010901,1,"A"
8698127010901,1,"B"
8698220010901,1,"B"
8698315010901,1,"E"
8698506010901,1,"E"
8698794010901,1,"A"
8698912010901,1,"B"
8699042010901,1,"E"
8699112010901,2,"B"
8699112010901,3,"B"
8699199010901,1,"B"
8699395010901,1,"E"
8699802010901,1,"C"
8699802010901,2,"B"
8699944010901,1,"E"
8700035010901,1,"E"
8700374010901,1,"A"
8700374010901,2,"B"
8700543010901,1,"B"
8700650010901,1,"B"
8700751010901,1,"E"
8700932010901,1,"E"
8701268010901,1,"E"
8701365010901,1,"A"
8701466010901,2,"E"
8701710010901,1,"E"
8701710010901,2,"A"
8701945010901,1,"B"
8702031010901,1,"B"
8702031010901,2,"B"
8702288010901,1,"E"
8702375010901,1,"E"
8702483010901,1,"B"
8702483010901,2,"B"
8702595010901,1,"B"
8702693010901,1,"B"
8702798010901,1,"E"
8702980010901,1,"B"
8703071010901,1,"B"
8703169010901,1,"E"
8703275010901,1,"E"
8703376010901,1,"B"
8703524010901,2,"C"
8703665010901,2,"B"
8703759010901,1,"E"
8704037010901,1,"E"
8704288010901,1,"E"
8704409010901,1,"B"
8704409010901,3,"A"
8704619010901,1,"B"
8704619010901,2,"C"
8704745010901,1,"B"
8704972010901,1,"B"
8705194010901,1,"E"
8705959010901,1,"B"
8706389010901,1,"B"
8706755010901,1,"B"
8706867010901,1,"B"
8706965010901,1,"E"
8707190010901,2,"E"
8707354010901,1,"E"
8707354010901,2,"B"
8707467010901,1,"E"
8707621010901,2,"E"
8707721010901,1,"B"
8707786010901,1,"B"
8707849010901,1,"B"
8708007010901,1,"B"
8708180010901,1,"B"
8708494010901,1,"E"
8708744010901,1,"E"
8708881010901,1,"B"
8708881010901,2,"E"
8708992010901,1,"B"
8709064010901,1,"B"
8709064010901,2,"B"
8709242010901,1,"E"
8709463010901,1,"A"
8709463010901,2,"B"
8709659010901,1,"E"
8709659010901,2,"B"
8709753010901,1,"B"
8709753010901,2,"E"
8709873010901,1,"E"
8709974010901,1,"B"
8710063010901,1,"E"
8710166010901,1,"E"
8710215010901,1,"B"
8710295010901,2,"B"
8710373010901,3,"B"
8710577010901,1,"B"
8710732010901,1,"E"
8710876010901,1,"A"
8711041010901,1,"B"
8711041010901,2,"B"
8711210010901,1,"B"
8711304010901,1,"B"
8711501010901,1,"B"
8711501010901,2,"B"
8711663010901,1,"B"
8711863010901,1,"B"
8712137010901,1,"B"
8712259010901,1,"B"
8712425010901,1,"B"
8712506010901,1,"A"
8712719010901,1,"B"
8712810010901,1,"B"
8712973010901,1,"B"
8713059010901,1,"B"
8713248010901,1,"B"
8713430010901,1,"E"
8713516010901,2,"C"
8713546010901,1,"E"
8713645010901,1,"B"
8713732010901,1,"E"
8713922010901,1,"B"
8714080010901,1,"B"
8714418010901,1,"B"
8714619010901,1,"B"
8714731010901,1,"B"
8714914010901,1,"E"
8715087010901,1,"B"
8715230010901,1,"B"
8715554010901,1,"A"
8715644010901,1,"B"
8715820010901,1,"B"
8716118010901,1,"A"
8716515010901,1,"B"
8716610010901,1,"B"
8716854010901,1,"B"
8716934010901,1,"B"
8717100010901,1,"B"
8717100010901,2,"A"
8717280010901,1,"B"
8717445010901,1,"B"
8717591010901,1,"E"
8717725010901,1,"B"
8717725010901,2,"B"
8717879010901,1,"B"
8718004010901,1,"B"
8718152010901,1,"B"
8718308010901,1,"E"
8718475010901,1,"A"
8718591010901,1,"B"
8718755010901,3,"E"
8718845010901,2,"E"
8718902010901,1,"B"
8718902010901,2,"E"
8718987010901,1,"E"
8719085010901,1,"E"
8719195010901,1,"B"
8719285010901,1,"E"
8719399010901,1,"B"
8719485010901,1,"B"
8719575010901,1,"B"
8719739010901,1,"B"
8719841010901,1,"B"
8720074010901,1,"B"
8720151010901,1,"E"
8720362010901,1,"B"
8720507010901,1,"E"
8720648010901,1,"E"
8720738010901,1,"A"
8720896010901,1,"B"
8721101010901,1,"A"
8721255010901,1,"A"
8721255010901,2,"B"
8721433010901,1,"B"
8721517010901,1,"B"
8721610010901,1,"B"
8721752010901,1,"B"
8721896010901,1,"E"
8722115010901,1,"B"
8722183010901,1,"E"
8722381010901,1,"B"
8722625010901,1,"B"
8722805010901,1,"E"
8723005010901,1,"E"
8723176010901,1,"B"
8723318010901,1,"B"
8723505010901,1,"E"
8723609010901,1,"A"
8723694010901,1,"E"
8723844010901,1,"B"
8723942010901,1,"B"
8723942010901,2,"E"
8724028010901,1,"B"
8724126010901,1,"E"
8724275010901,1,"B"
8724275010901,2,"B"
8724380010901,1,"B"
8724737010901,1,"E"
8724846010901,1,"B"
8724971010901,1,"B"
8725337010901,1,"E"
8725511010901,1,"B"
8725585010901,1,"E"
8725725010901,1,"B"
8725840010901,1,"E"
8726256010901,2,"B"
8726335010901,1,"B"
8726420010901,1,"B"
8726516010901,1,"B"
8726733010901,1,"B"
8726823010901,1,"B"
8726931010901,1,"B"
8726931010901,2,"B"
8727201010901,1,"B"
8727318010901,1,"B"
8727512010901,1,"A"
8727512010901,2,"B"
8727675010901,1,"E"
8727872010901,1,"E"
8728085010901,1,"E"
8728156010901,1,"E"
8728310010901,1,"A"
8728424010901,1,"E"
8728424010901,2,"D"
8728516010901,1,"A"
8728613010901,1,"E"
8728717010901,2,"A"
8728779010901,1,"A"
8728867010901,1,"B"
8728961010901,1,"B"
8729038010901,1,"B"
8729038010901,3,"B"
8729134010901,2,"B"
8729239010901,1,"B"
8729350010901,1,"B"
8729350010901,2,"B"
8729557010901,1,"B"
8729557010901,2,"B"
8729686010901,1,"B"
8729686010901,2,"B"
8975437010901,1,"E"
8976070010901,1,"E"
8976070010901,3,"B"
8976192010901,1,"B"
8976310010901,1,"B"
9254606010901,1,"E"
9255017010901,1,"E"
9262796010901,1,"E"
9573516010902,1,"B"
9573517010902,1,"B"
9573518010902,1,"E"
9573518010902,2,"B"
9573519010902,1,"B"
9573520010902,1,"B"
9573521010902,1,"B"
9573522010902,1,"B"
9573523010902,1,"B"
9573524010902,2,"B"
9573525010902,1,"A"
9573525010902,3,"A"
9573526010902,1,"B"
9573527010902,1,"E"
9573528010902,1,"B"
9573528010902,2,"B"
9573529010902,1,"B"
9573530010902,1,"C"
9573531010902,1,"B"
9573532010902,1,"E"
9573533010902,1,"B"
9573534010902,1,"E"
9573535010902,1,"B"
9573536010902,1,"B"
9573536010902,2,"A"
9573537010902,1,"B"
9573539010902,1,"A"
9573540010902,1,"A"
