"SPCD","species","eq","a1","a2","a3","a4","a5","a6","variant"
117,"SP",5,"3.59300","0.63503","-0.22766","0.17827","0.04267","-0.00290","PN"
119,"WP",5,"5.38220","0.57896","-0.19579","0.14875",NA,"-0.00685","PN"
122,"PP",5,"4.77620","0.74126","-0.28734","0.17137","-0.00602","-0.00209","PN"
202,"DF",5,"6.02270","0.54361","-0.20669","0.20395","-0.00644","-0.00378","PN"
211,"RW",4,"3.70230","0.52618",NA,NA,NA,NA,"PN"
242,"RC",5,"6.23820","0.29517","-0.10673","0.23219","0.05341","-0.00787","PN"
263,"WH",5,"6.03840","0.51581","-0.21349","0.17468","0.06143","-0.00571","PN"
264,"MH",3,"6.90396","0.55645","-0.28509","0.20430",NA,NA,"PN"
312,"BM",6,"7.51830","0.44610",NA,NA,NA,NA,"PN"
351,"RA",6,"7.08060","0.47710",NA,NA,NA,NA,"PN"
312,"WA",6,"7.51830","0.44610",NA,NA,NA,NA,"PN"
375,"PB",6,"5.89800","0.48410",NA,NA,NA,NA,"PN"
631,"GC",2,"3.11500","0.79660",NA,"0.07450","-0.0053","0.05230","PN"
746,"AS",5,"4.79600","0.64167","-0.18695","0.18581",NA,NA,"PN"
747,"CW",5,"4.4327","0.41505","-0.23264","0.41477",NA,NA,"PN"
815,"WO",5,"2.48570","0.70862",NA,"0.10168",NA,NA,"PN"
64,"WJ",5,"5.14860","0.73636","-0.46927","0.39114","-0.05429",NA,"PN"
72,"LL",4,"2.25860","0.68532",NA,NA,NA,NA,"PN"
101,"WB",5,"2.23540","0.66680","-0.11658","0.16927",NA,NA,"PN"
103,"KP",5,"4.00690","0.84628","-0.29035","0.13143",NA,"-0.00842","PN"
231,"PY",4,"6.12970","0.45424",NA,NA,NA,NA,"PN"
351,"DG",6,"7.08060","0.47710",NA,NA,NA,NA,"PN"
351,"HT",6,"7.08060","0.47710",NA,NA,NA,NA,"PN"
351,"CH",6,"7.08060","0.47710",NA,NA,NA,NA,"PN"
312,"WI",6,"7.51830","0.44610",NA,NA,NA,NA,"PN"
122,"OT",5,"4.77620","0.74126","-0.28734","0.17137","-0.00602","-0.00209","PN"
119,"WP",5,"5.3822","0.57896","-0.19579","0.14875",NA,"-0.00685","SO"
117,"SP",5,"3.593","0.63503","-0.22766","0.17827","0.04267","-0.0029","SO"
202,"DF",5,"6.0227","0.54361","-0.20669","0.20395","-0.00644","-0.00378","SO"
15,"WF",5,"5.0312","0.5368","-0.18957","0.16199","0.04385","-0.00651","SO"
264,"MH",3,"6.90396","0.55645","-0.28509","0.2043",NA,NA,"SO"
81,"IC",5,"5.0446","0.47419","-0.13917","0.1423","0.04838","-0.00616","SO"
108,"LP",5,"6.6941","0.8198","-0.36992","0.17722","-0.01202","-0.00882","SO"
93,"ES",5,"6.7575","0.55048","-0.25204","0.19002",NA,"-0.00313","SO"
21,"SH",5,"2.317","0.4788","-0.06093","0.15482","0.05182",NA,"SO"
122,"PP",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","SO"
64,"WJ",5,"5.1486","0.73636","-0.46927","0.39114","-0.05429",NA,"SO"
17,"GF",3,"1.0303","1.14079","0.20904","0.38787",NA,NA,"SO"
19,"AF",5,"5.8827","0.51479","-0.21501","0.17916","0.03277","-0.00828","SO"
11,"SF",5,"4.4799","0.45976","-0.10425","0.11866","0.06762","-0.00715","SO"
22,"NF",6,"3.0614","0.6276",NA,NA,NA,NA,"SO"
101,"WB",5,"2.2354","0.6668","-0.11658","0.16927",NA,NA,"SO"
73,"WL",3,"1.02478","0.99889","0.19422","0.59423","-0.09078","-0.02341","SO"
242,"RC",5,"6.2382","0.29517","-0.10673","0.23219","0.05341","-0.00787","SO"
263,"WH",5,"6.0384","0.51581","-0.21349","0.17468","0.06143","-0.00571","SO"
231,"PY",4,"6.1297","0.45424",NA,NA,NA,NA,"SO"
312,"WA",6,"7.5183","0.4461",NA,NA,NA,NA,"SO"
351,"RA",6,"7.0806","0.4771",NA,NA,NA,NA,"SO"
312,"BM",6,"7.5183","0.4461",NA,NA,NA,NA,"SO"
746,"AS",5,"4.7961","0.64167","-0.18695","0.18581",NA,NA,"SO"
747,"CW",5,"4.4327","0.41505","-0.23264","0.41477",NA,NA,"SO"
351,"CH",6,"7.0806","0.4771",NA,NA,NA,NA,"SO"
815,"WO",5,"2.4857","0.70862",NA,"0.10168",NA,NA,"SO"
312,"WI",6,"7.5183","0.4461",NA,NA,NA,NA,"SO"
631,"GC",2,"3.115","0.7966",NA,"0.0745","-0.0053","0.0523","SO"
475,"MC",2,"4.0105","0.8611",NA,NA,NA,"-0.0431","SO"
475,"MB",2,"4.0105","0.8611",NA,NA,NA,"-0.0431","SO"
122,"OS",5,"4.7762","0.74126","-0.28734","0.17137","-0.00602","-0.00209","SO"
312,"OH",6,"7.5183","0.4461",NA,NA,NA,NA,"SO"
11,"SF",5,"4.4799","0.45976","-0.1043","0.11866","0.06762","-0.0072","WC"
15,"WF",5,"5.0312","0.5368","-0.1896","0.16199","0.04385","-0.0065","WC"
17,"GF",3,"1.0303","1.14079","0.20904","0.38787",NA,NA,"WC"
19,"AF",5,"5.8827","0.51479","-0.215","0.17916","0.03277","-0.0083","WC"
20,"RF",6,"3.1146","0.578",NA,NA,NA,NA,"WC"
22,"NF",6,"3.0614","0.6276",NA,NA,NA,NA,"WC"
42,"YC",5,"3.3756","0.45445","-0.1152","0.22547","0.08756","-0.0089","WC"
81,"IC",5,"5.0446","0.47419","-0.1392","0.1423","0.04838","-0.0062","WC"
93,"ES",5,"6.7575","0.55048","-0.252","0.19002",NA,"-0.0031","WC"
108,"LP",5,"6.6941","0.8198","-0.3699","0.17722","-0.012","-0.0088","WC"
116,"JP",5,"4.0217","0.66815","-0.1135","0.09689","-0.636",NA,"WC"
