"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","stratID"
"RaDFWV_fwx",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,71.0883664662853,"RaDFWV_fwx ZoneNull"
"RaDFWV_fwx",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,793.661724731128,"RaDFWV_fwx ZoneNull"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,574838.17002991,"RaMCONdy_fdd OBM"
"RaMCONdy_fdd",11,"C","D","Grow w/ fire","None",0,0,1,49329.7401788272,"RaMCONdy_fdd OBM"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,1.09139364212751e-11,"RaMCONdy_fdd OBM"
"RaMCONdy_fdd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,57576.870054054,"RaMCONdy_fdd OBM"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,484.543230459832,"RaMCONdy_fdd WCB"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1234.4681895614,"RaMCONdy_fdd WCB"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,349.22512331395,"RaMCONdy_fdd WCB"
"RaMCONdy_fdd",1,"B","C","Thin / low fire","None",1,0,0,243809.022743821,"RaMCONdy_fdd WNE"
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1036762.34820373,"RaMCONdy_fdd WNE"
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,130622.542240315,"RaMCONdy_fdd WNE"
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,111897.39309806,"RaMCONdy_fdd WNE"
"RaMCONdy_fdg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,391297.268709098,"RaMCONdy_fdg OBM"
"RaMCONdy_fdg",6,"B","A","Regen / high fire","None",1,0,0,35757.40236614,"RaMCONdy_fdg OBM"
"RaMCONdy_fdx",1,"B","C","Thin / low fire","None",1,0,0,494.533335364228,"RaMCONdy_fdx OEC"
"RaMCONdy_fdx",2,"E","D","Thin / low fire","None",1,0,0,263.138054213688,"RaMCONdy_fdx OEC"
"RaMCONdy_fdx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1164.9784696663,"RaMCONdy_fdx OEC"
"RaMCONdy_fdx",6,"B","A","Regen / high fire","None",1,0,0,120.532087163532,"RaMCONdy_fdx OEC"
"RaMCONdy_fdx",1,"B","C","Thin / low fire","None",1,0,0,76.584785745347,"RaMCONdy_fdx OSW"
"RaMCONdy_fdx",2,"E","D","Thin / low fire","None",1,0,0,97.9602911452075,"RaMCONdy_fdx OSW"
"RaMCONdy_fdx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2.86092388710837,"RaMCONdy_fdx OSW"
"RaMCONdy_fdx",6,"B","A","Regen / high fire","None",1,0,0,2.8501813792974,"RaMCONdy_fdx OSW"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,234977.443265721,"RaMCONdy_fmd OEC"
"RaMCONdy_fmd",6,"B","A","Regen / high fire","None",1,0,0,4208.36452953235,"RaMCONdy_fmd OEC"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1424.46918719595,"RaMCONdy_fmd OSE"
"RaMCONdy_fmd",11,"C","D","Grow w/ fire","None",0,0,1,241.815873602752,"RaMCONdy_fmd OSE"
"RaMCONdy_fmd",19,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,258.532021765227,"RaMCONdy_fmd OSE"
"RaMCONdy_fmd",20,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,662.05710221024,"RaMCONdy_fmd OSE"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4194.92709539912,"RaMCONdy_fmd WCB"
"RaMCONdy_fmd",6,"B","A","Regen / high fire","None",1,0,0,66.7037141271376,"RaMCONdy_fmd WCB"
"RaMCONdy_fmd",7,"C","A","Regen / high fire","None",1,0,0,745.669534965514,"RaMCONdy_fmd WCB"
"RaMCONdy_fmd",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,286.035765560537,"RaMCONdy_fmd WCB"
"RaMCONdy_fmd",1,"B","C","Thin / low fire","None",1,0,0,37375.2051472042,"RaMCONdy_fmd WEC"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,503922.186116278,"RaMCONdy_fmd WEC"
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,28616.8639949483,"RaMCONdy_fmd WNE"
"RaMCONdy_fmd",13,"B","E","Grow w/o fire","None",0,0,1,5891.10938291502,"RaMCONdy_fmd WNE"
"RaMCONdy_fmx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,221829.048439724,"RaMCONdy_fmx OEC"
"RaMCONdy_fmx",13,"B","E","Grow w/o fire","None",0,0,1,7976.98533533814,"RaMCONdy_fmx OEC"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,66073.6780529878,"RaMCONms_fcm OBM"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,68407.6656902138,"RaMCONms_fcm OBM"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,100056.282153176,"RaMCONms_fcm OBM"
"RaMCONms_fcm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,262562.045355581,"RaMCONms_fcm OBM"
"RaMCONms_fcm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,30.6615283496061,"RaMCONms_fcm OEC"
"RaMCONms_fcm",6,"B","A","Regen / high fire","None",1,0,0,8.2308771223226,"RaMCONms_fcm OEC"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,30.6347433101949,"RaMCONms_fcm OEC"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,50.2813537376414,"RaMCONms_fcm OEC"
"RaMCONms_fcm",1,"B","C","Thin / low fire","None",1,0,0,11.5214809226878,"RaMCONms_fcm WCB"
"RaMCONms_fcm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,38.5994359121715,"RaMCONms_fcm WCB"
"RaMCONms_fcm",6,"B","A","Regen / high fire","None",1,0,0,59.087948077235,"RaMCONms_fcm WCB"
"RaMCONms_fcm",13,"B","E","Grow w/o fire","None",0,0,1,30.8790974577235,"RaMCONms_fcm WCB"
"RaMCONms_fcm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,6644.26621678394,"RaMCONms_fcm WNE"
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,9572.49115040099,"RaMCONms_fcm WNE"
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,474.592207978632,"RaMCONms_fcm WNE"
"RaMCONms_fcm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,10335.7430404361,"RaMCONms_fcm WNE"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,47028.3718325192,"RaMCONms_fmm OEC"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,45106.1528001355,"RaMCONms_fmm OEC"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,15271.5866699929,"RaMCONms_fmm OEC"
"RaMCONms_fmm",16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,33001.5789416908,"RaMCONms_fmm OEC"
"RaMCONms_fmm",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,92.1449121249434,"RaMCONms_fmm WCB"
"RaMCONms_fmm",7,"C","A","Regen / high fire","None",1,0,0,741.476003658636,"RaMCONms_fmm WCB"
"RaMCONms_fmm",11,"C","D","Grow w/ fire","None",0,0,1,617.246244487537,"RaMCONms_fmm WCB"
"RaMCONms_fmm",15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,1257.35058861041,"RaMCONms_fmm WCB"
"RaMCONms_fmm",2,"E","D","Thin / low fire","None",1,0,0,1289.18606423025,"RaMCONms_fmm WEC"
