"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES","BPS_LLID"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,121.544975377408,"Na0210290_fwo_1710030703"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,18.6232846175333,"Na0210290_fwo_1710030703"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1191.87433653648,"Na0210290_fwo_1710030704"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,536.106496952317,"Na0210290_fwo_1710030704"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,210.610914728832,"Na0210290_fwo_1710030704"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,835.088864401157,"Na0210290_fwo_1710030705"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,189.096312545241,"Na0210290_fwo_1710030705"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,37.3450648668142,"Na0210290_fwo_1710030705"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,73.2403169474827,"Na0210290_fwo_1710030706"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,45.098592664818,"Na0210290_fwo_1710030706"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,822.676901558661,"Na0210290_fwo_1710030706"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,35.8764187026487,"Na0210290_fwo_1710030706"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4917.46601941614,"Na0210290_fwo_1710030707"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,537.302117532898,"Na0210290_fwo_1710030707"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,2.29548244571265,"Na0210290_fwo_1710030707"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,1004.17686778711,"Na0210290_fwo_1710030708"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,23987.6988490166,"Na0210290_fwo_1710030708"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,241.307721834138,"Na0210290_fwo_1710030708"
"Na0210290_fwo",7,"C","A","Regen / high fire","None",1,0,0,898.004584328669,"Na0210290_fwo_1710030708"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,305.216831359352,"Na0210290_fwo_1710030801"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,21747.0870962045,"Na0210290_fwo_1710030801"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,7149.8236299615,"Na0210290_fwo_1710030802"
"Na0210290_fwo",11,"C","D","Grow w/ fire","None",0,0,1,886.71618713757,"Na0210290_fwo_1710030802"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,584.530761086542,"Na0210290_fwo_1710030802"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,45.5264365981539,"Na0210290_fwo_1710030803"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,537.612993633508,"Na0210290_fwo_1710030803"
"Na0210290_fwo",13,"B","E","Grow w/o fire","None",0,0,1,0.7169370610643,"Na0210290_fwo_1710030803"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,66.2133067716425,"Na0210290_fwo_1710030804"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,24.3428552361925,"Na0210290_fwo_1710030804"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,2664.36688875108,"Na0210290_fwo_1710030804"
"Na0210290_fwo",6,"B","A","Regen / high fire","None",1,0,0,45.855062437353,"Na0210290_fwo_1710030804"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,58.7883710446032,"Na0210290_fwo_1710030901"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,214.325307961274,"Na0210290_fwo_1710030901"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,494.45752660671,"Na0210290_fwo_1710030901"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,215.588612757226,"Na0210290_fwo_1710030902"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1336.63570968071,"Na0210290_fwo_1710030902"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,281.078883635423,"Na0210290_fwo_1710030903"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,4812.40460948641,"Na0210290_fwo_1710030903"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,5.20640931193361,"Na0210290_fwo_1710030903"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,47.9797182432054,"Na0210290_fwo_1710030904"
"Na0210290_fwo",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,5435.75283794,"Na0210290_fwo_1710030904"
"Na0210290_fwo",18,"A","D","Grow w/ fire","Grow w/ fire",0,0,1,108.253967784371,"Na0210290_fwo_1710030904"
"Na0210290_fwo",1,"B","C","Thin / low fire","None",1,0,0,60.579756201834,"Na0210290_fwo_1710030905"
"Na0210290_fwo",2,"E","D","Thin / low fire","None",1,0,0,44.2017674698331,"Na0210290_fwo_1710030905"
