"BpS_Code","Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","REST_ACRES"
"RaDFHEwt_fwn",12,"D","E","Grow w/o fire","None",0,0,1,2192.91260579262
"RaDFHEwt_fwn",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,40282.846228817
"RaDFHEwt_fww",10,"B","E","Grow w/o fire","None",0,0,1,6628.28914470024
"RaDFHEwt_fww",11,"C","E","Grow w/o fire","None",0,0,1,5859.89442631324
"RaDFHEwt_fww",12,"D","E","Grow w/o fire","None",0,0,1,385.221066762891
"RaDFHEwt_fww",19,"A","E","Grow w/o fire","Grow w/o fire",0,0,1,6549.5096815431
"RaDFWV_fwx",2,"E","D","Thin / low fire","None",1,0,0,5337.56612509157
"RaDFWV_fwx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,3213.30708543803
"RaMCONdy_fdd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1662164.72660202
"RaMCONdy_fdd",6,"B","A","Regen / high fire","None",1,0,0,120387.160839082
"RaMCONdy_fdd",13,"B","E","Grow w/o fire","None",0,0,1,169451.106725273
"RaMCONdy_fdg",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,391297.268709098
"RaMCONdy_fdg",6,"B","A","Regen / high fire","None",1,0,0,35757.40236614
"RaMCONdy_fdx",1,"B","C","Thin / low fire","None",1,0,0,571.118121109575
"RaMCONdy_fdx",2,"E","D","Thin / low fire","None",1,0,0,361.098345358896
"RaMCONdy_fdx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,1167.8393935534
"RaMCONdy_fdx",6,"B","A","Regen / high fire","None",1,0,0,123.382268542829
"RaMCONdy_fmd",1,"B","C","Thin / low fire","None",1,0,0,31597.5647030019
"RaMCONdy_fmd",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,773636.237554911
"RaMCONdy_fmx",3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,221829.048439724
"RaMCONdy_fmx",13,"B","E","Grow w/o fire","None",0,0,1,7976.98533533814
"RaMCONms_fcm",7,"C","A","Regen / high fire","None",1,0,0,75744.1227718985
"RaMCONms_fcm",11,"C","D","Grow w/ fire","None",0,0,1,75595.7850792381
