"strataID","BpS","SCLASS","YEAR","STATE","ew","MAP_ZONE","PVT","BpS_Code","sclass","AREA_TOTAL","AREA_STRATA","avg","low","high","departure"
"2002_Oregon_Na0710412_fmh","Na0710412","E",2002,"Oregon","westside","OWC","fmh","Na0710412_fmh","E",369.842885,643545.968265,268284.289010585,250860.64745392,285707.955665543,-250490.80456892
"2002_Oregon_Na0710412_fmi","Na0710412","A",2002,"Oregon","eastside","OEC","fmi","Na0710412_fmi","A",1158.455555,63999.49873,9440.59012147382,8082.84075591687,10798.3394870308,-6924.38520091687
"2002_Oregon_Na0710412_fmi","Na0710412","A",2002,"Oregon","eastside","OSW","fmi","Na0710412_fmi","A",1137.105635,63999.49873,9440.59012147382,8082.84075591687,10798.3394870308,-6945.73512091687
"2002_Oregon_Na0710412_fmi","Na0710412","A",2002,"Oregon","westside","OWC","fmi","Na0710412_fmi","A",1889.91271,63999.49873,9440.59012147382,8082.84075591687,10798.3394870308,-6192.92804591687
"2002_Oregon_Na0710412_fmi","Na0710412","B",2002,"Oregon","eastside","OEC","fmi","Na0710412_fmi","B",12054.69858,63999.49873,14522.2788316293,12906.2783048,16138.278142468,-851.579724800033
"2002_Oregon_Na0710412_fmi","Na0710412","B",2002,"Oregon","eastside","OSW","fmi","Na0710412_fmi","B",9293.88705,63999.49873,14522.2788316293,12906.2783048,16138.278142468,-3612.39125480003
"2002_Oregon_Na0710412_fmi","Na0710412","B",2002,"Oregon","westside","OWC","fmi","Na0710412_fmi","B",5710.881205,63999.49873,14522.2788316293,12906.2783048,16138.278142468,-7195.39709980003
"2002_Oregon_Na0710412_fmi","Na0710412","C",2002,"Oregon","eastside","OEC","fmi","Na0710412_fmi","C",2804.178555,63999.49873,10203.3978428547,8747.42723060638,11659.3678791076,-5943.24867560638
"2002_Oregon_Na0710412_fmi","Na0710412","C",2002,"Oregon","eastside","OSW","fmi","Na0710412_fmi","C",1120.648405,63999.49873,10203.3978428547,8747.42723060638,11659.3678791076,-7626.77882560638
"2002_Oregon_Na0710412_fmi","Na0710412","C",2002,"Oregon","westside","OWC","fmi","Na0710412_fmi","C",1635.715225,63999.49873,10203.3978428547,8747.42723060638,11659.3678791076,-7111.71200560638
