"BpS_Code","MAP_ZONE","stratID","SCLASS","AREA_PCT","AREA","AREA_TOTAL","avg","low","high","departure"
"RaMCONsw_fdm","OSW","RaMCONsw_fdm OSW","E",21.9801607068239,51969.3375440686,254933.834845,46099.6713336604,40230.0051232522,51969.3375440686,0
"RaMCONsw_fiw","OEC","RaMCONsw_fiw OEC","A",2.65617314313822,167.808574800384,1356.387105,197.971867836987,167.808574800384,228.135174437461,-2.8421709430404e-14
"RaMCONsw_fiw","OEC","RaMCONsw_fiw OEC","B",63.8301360878833,104.962859122224,1356.387105,38.9786657847731,24.5291037957244,53.4282291302089,51.5346299920155
"RaMCONsw_fiw","OEC","RaMCONsw_fiw OEC","C",3.55796032136416,145.070706320813,1356.387105,170.731780262241,145.070706320813,196.392841996185,0
"RaMCONsw_fiw","OEC","RaMCONsw_fiw OEC","D",2.34464666338744,662.039732161519,1356.387105,703.429397727623,662.039732161519,744.819063293728,0
"RaMCONsw_fiw","OEC","RaMCONsw_fiw OEC","E",27.6110837842269,276.505232595059,1356.387105,245.275405595859,214.04557859666,276.505232595059,0
"RaMCONsw_fiw","OSW","RaMCONsw_fiw OSW","A",5.71960086388016,137755.266923193,1113467.937635,162516.531289347,137755.266923193,187277.806790179,0
"RaMCONsw_fiw","OSW","RaMCONsw_fiw OSW","B",50.1676049735625,80290.6030891142,1113467.937635,31997.8673073092,20136.1178639782,43859.6178641082,36430.985225006
"RaMCONsw_fiw","OSW","RaMCONsw_fiw OSW","C",11.2229320913741,124963.7505,1113467.937635,140154.947327776,119089.587023381,161220.29761096,0
"RaMCONsw_fiw","OSW","RaMCONsw_fiw OSW","D",2.73255127665596,543473.181428037,1113467.937635,577450.255809979,543473.181428037,611427.330191921,0
"RaMCONsw_fiw","OSW","RaMCONsw_fiw OSW","E",30.1573107945273,226985.135694656,1113467.937635,201348.345921801,175711.556148945,226985.135694656,0
"RaMCONsw_fvw","OSW","RaMCONsw_fvw OSW","A",9.08615232187302,13829.5011276671,111783.066035,16315.3293730953,13829.5011276671,18801.1587363542,0
"RaMCONsw_fvw","OSW","RaMCONsw_fvw OSW","B",54.1263705327744,8650.23721416316,111783.066035,3212.32394153105,2021.50139828765,4403.14659655752,4247.09061760564
"RaMCONsw_fvw","OSW","RaMCONsw_fvw OSW","C",9.38279022666637,11955.6196639038,111783.066035,14070.4093963848,11955.6196639038,16185.1981228183,0
"RaMCONsw_fvw","OSW","RaMCONsw_fvw OSW","D",2.99085018293666,54560.2585170587,111783.066035,57971.278646996,54560.2585170587,61382.2987769333,-7.27595761418343e-12
"RaMCONsw_fvw","OSW","RaMCONsw_fvw OSW","E",24.4138367357495,22787.4495122073,111783.066035,20213.7256830404,17640.0018538735,22787.4495122073,0
"RaMEVG_ftd","OSW","RaMEVG_ftd OSW","A",12.0549414579648,61410.0453049336,434156.627865,71871.2936835222,61410.0453049336,82332.5385888579,0
"RaMEVG_ftd","OSW","RaMEVG_ftd OSW","B",38.0575221533593,39723.1728228938,434156.627865,32665.9972135146,25608.8194333522,39723.1728228938,0
