"Order","Donate","Receive","Primary","Secondary","ActiveOnly","ActivePassive","PassiveOnly","BpS","REST_ACRES","strataID"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaDFHEdy",0,"2003_RaDFHEdy_fdg"
13,"B","E","Grow w/o fire","None",0,0,1,"RaDFHEdy",0,"2003_RaDFHEdy_fdg"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaDFHEdy",11697.2162915551,"2003_RaDFHEdy_fwx"
6,"B","A","Regen / high fire","None",1,0,0,"RaDFHEdy",986.008256776334,"2003_RaDFHEdy_fwx"
13,"B","E","Grow w/o fire","None",0,0,1,"RaDFHEdy",21088.7185557681,"2003_RaDFHEdy_fwx"
11,"C","E","Grow w/o fire","None",0,0,1,"RaDFHEwt",2138.95977123835,"2003_RaDFHEwt_fhc"
14,"C","D","Grow w/ fire","None",0,0,1,"RaDFHEwt",0,"2003_RaDFHEwt_fhc"
15,"C","B","Regen / high fire","Grow w/o fire",0,1,0,"RaDFHEwt",5.6843418860808e-14,"2003_RaDFHEwt_fhc"
11,"C","E","Grow w/o fire","None",0,0,1,"RaDFHEwt",9.37134301900744,"2003_RaDFHEwt_fwc"
1,"B","C","Thin / low fire","None",1,0,0,"RaMCONdy",-2916.73158658546,"2003_RaMCONdy_fdd"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaMCONdy",0,"2003_RaMCONdy_fdd"
6,"B","A","Regen / high fire","None",1,0,0,"RaMCONdy",0,"2003_RaMCONdy_fdd"
13,"B","E","Grow w/o fire","None",0,0,1,"RaMCONdy",0,"2003_RaMCONdy_fdd"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaMCONdy",166084.901530213,"2003_RaMCONdy_fdg"
1,"B","C","Thin / low fire","None",1,0,0,"RaMCONdy",34.2565350560269,"2003_RaMCONdy_fdx"
2,"E","D","Thin / low fire","None",1,0,0,"RaMCONdy",-215.468049179869,"2003_RaMCONdy_fdx"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaMCONdy",0,"2003_RaMCONdy_fdx"
5,"E","C","Overstory removal","None",1,0,0,"RaMCONdy",0,"2003_RaMCONdy_fdx"
6,"B","A","Regen / high fire","None",1,0,0,"RaMCONdy",0,"2003_RaMCONdy_fdx"
9,"E","A","Regen / high fire","None",1,0,0,"RaMCONdy",0,"2003_RaMCONdy_fdx"
1,"B","C","Thin / low fire","None",1,0,0,"RaMCONdy",-2680.83605420279,"2003_RaMCONdy_fmd"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaMCONdy",0,"2003_RaMCONdy_fmd"
6,"B","A","Regen / high fire","None",1,0,0,"RaMCONdy",0,"2003_RaMCONdy_fmd"
13,"B","E","Grow w/o fire","None",0,0,1,"RaMCONdy",0,"2003_RaMCONdy_fmd"
1,"B","C","Thin / low fire","None",1,0,0,"RaMCONdy",60428.7688936716,"2003_RaMCONdy_fmx"
2,"E","D","Thin / low fire","None",1,0,0,"RaMCONdy",69761.2508806628,"2003_RaMCONdy_fmx"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaMCONdy",111428.175437205,"2003_RaMCONdy_fmx"
6,"B","A","Regen / high fire","None",1,0,0,"RaMCONdy",12091.0735788258,"2003_RaMCONdy_fmx"
11,"C","D","Grow w/ fire","None",0,0,1,"RaMCONms",-75406.4470378256,"2003_RaMCONms_fcm"
15,"C","E","Grow w/o fire","Grow w/o fire",0,0,1,"RaMCONms",0,"2003_RaMCONms_fcm"
16,"C","B","Regen / high fire","Grow w/o fire",0,1,0,"RaMCONms",0,"2003_RaMCONms_fcm"
2,"E","D","Thin / low fire","None",1,0,0,"RaMCONms",-269868.30695251,"2003_RaMCONms_fmm"
5,"E","C","Overstory removal","None",1,0,0,"RaMCONms",0,"2003_RaMCONms_fmm"
9,"E","A","Regen / high fire","None",1,0,0,"RaMCONms",0,"2003_RaMCONms_fmm"
18,"E","B","Regen / high fire","Grow w/o fire",0,1,0,"RaMCONms",0,"2003_RaMCONms_fmm"
1,"B","C","Thin / low fire","None",1,0,0,"RaMCONsw",4958.79924947217,"2003_RaMCONsw_fdm"
2,"E","D","Thin / low fire","None",1,0,0,"RaMCONsw",1380.90654620867,"2003_RaMCONsw_fdm"
3,"B","D","Thin / low fire","Grow w/ fire",0,1,0,"RaMCONsw",91798.3670505019,"2003_RaMCONsw_fdm"
